method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Head,_2D,True,0,0,Straight,Same,0,3,30,0,23.29688,183.59,254.31,115.01,0,0,60.20264,885.4376,1833.352,0,0,0,0
Head,_2D,True,1,15.15997,Right,Same,168.5298,3,171.4133,0,251.2936,568.3,372.3499,376.6401,0,0,868.089,2029.762,2272.756,0,544,1354,3071
Head,_2D,True,2,27.73999,Left,Same,168.5298,3,391.4133,0,485.765,254.69,389.53,154.36,0,0,1257.011,2240.911,4018.941,9243,4684,0,117
Head,_2D,True,3,40.02002,Right,Same,337.0595,3,532.8265,0,742.4546,332.91,434.63,180.9499,0,0,172.9892,1952.497,2945.522,0,548,230,1623
Head,_2D,True,4,49.06,Straight,Same,505.5893,3,674.2398,0,964.5406,276.58,488.2599,195.0299,0,0,145.3066,786.2996,774.4146,7232,13939,249,10666
Head,_2D,True,5,59.45996,Left,Same,505.5893,3,894.2398,0,1206.351,308.89,520.6702,195.55,0,0,167.3623,807.6411,2221.474,4858,18802,10564,30668
Head,_2D,True,6,68.73999,Left,Same,337.0596,3,1035.653,0,1431.132,387.02,568.91,223.14,0,0,497.2866,1913.893,1505.051,17852,18567,20209,32648
Head,_2D,True,7,78.21997,Straight,Same,168.5298,3,1177.066,0,1649.512,272.72,616.0601,186.53,0,0,528.8004,1139.449,1131.524,19196,30183,0,8976
Head,_2D,True,8,88.29999,Left,Same,-48.12793,3,1138.864,0,1894.63,375.4901,297.8399,197.82,0,0,1243.759,2239.078,2223.457,16493,33237,0,27729
Head,_2D,True,9,99.91998,Right,Same,-216.6577,3,1280.277,0,2167.357,410.03,370.11,228.4002,0,0,1291.234,1609.684,1513.401,18389,37459,733,22232
Head,_2D,True,10,110.42,Right,Same,-216.6577,3,1500.277,0,2402.01,415.61,375.0099,263.0701,0,0,1617.672,918.1532,818.8539,41360,40662,991,17937
Head,_2D,True,11,120.08,Straight,Same,-216.6577,3,1720.277,0,2621.375,290.1201,397.8199,201.3,0,0,164.8068,1519.999,1500.405,50865,51487,31,21833
Head,_2D,True,12,131.04,Right,Same,-48.12793,3,1861.69,0,2858.579,385.64,488.5099,270.8201,0,0,913.9077,826.3506,788.8517,8477,33171,23,24467
Head,_2D,True,13,147.02,Left,Same,-48.12793,3,2081.69,0,3175.36,409.7899,516.0698,291.12,0,0,272.4914,2004.645,4066.387,43743,75410,359,33896
Head,_2D,True,14,157.14,Left,Same,-216.6577,3,2223.104,0,3400.789,294.9901,514.0099,239.5899,0,0,557.5295,800.2679,782.1792,10959,34787,0,21491
Head,_2D,True,15,168.32,Left,Same,-433.3154,3,2184.901,0,3643.469,376.05,549.0799,262.54,0,0,588.405,1515.019,1866.018,41682,69499,0,19425
