method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Feet,_2D,True,0,0,Straight,Same,0,3,30,0,22.11643,27.35001,57.32001,45.55,0,0,37.24532,385.6521,18.56502,45602,63871,52665,28831
Feet,_2D,True,1,10.94,Right,Same,168.5298,3,171.4133,0,271.7064,110.66,156.6699,153.3499,0,0,92.5517,845.675,782.393,73099,96402,115031,84321
Feet,_2D,True,2,25.32001,Left,Same,168.5298,3,391.4133,0,563.5677,154.88,206.93,231,0,0,132.4665,919.0214,98.2757,82473,119442,38837,30732
Feet,_2D,True,3,40.72,Right,Same,337.0595,3,532.8265,0,879.5911,137.95,176.25,171.62,0,0,136.4179,962.4523,1536.715,30165,1151,141540,64073
Feet,_2D,True,4,50.64,Straight,Same,505.5893,3,674.2398,0,1124.75,93.88998,120.95,143.91,0,0,93.28397,876.3718,64.61349,59766,23056,32357,14655
Feet,_2D,True,5,59.36,Left,Same,505.5893,3,894.2398,0,1354.682,92.16002,171.84,111.07,0,0,448.0481,826.3969,61.27306,65451,2556,19173,0
Feet,_2D,True,6,70.18001,Left,Same,337.0596,3,1035.653,0,1618.219,85.38997,145.12,147.29,0,0,105.0598,519.3917,86.97676,95217,17994,16535,7095
Feet,_2D,True,7,79.3,Straight,Same,168.5298,3,1177.066,0,1853.969,70.04997,115.85,85.72997,0,0,824.364,484.9572,2565.967,32528,10371,45396,23000
Feet,_2D,True,8,90.24001,Left,Same,-48.12793,3,1138.864,0,2142.727,101.81,167.71,174.4899,0,0,470.1585,2008.861,803.2025,92081,66537,26191,14878
Feet,_2D,True,9,104.22,Right,Same,-216.6577,3,1280.277,0,2482.021,163.4,188.57,158.26,0,0,485.1031,967.585,4765.67,44475,11727,122941,62592
Feet,_2D,True,10,113.08,Right,Same,-216.6577,3,1500.277,0,2706.254,89.64999,104.49,95.60004,0,0,441.8799,427.0699,1131.648,20988,3845,20186,13729
Feet,_2D,True,11,120.2,Straight,Same,-216.6577,3,1720.277,0,2929.606,87.01001,114.92,108.39,0,0,2244.342,69.69208,771.302,41187,14875,16274,5331
Feet,_2D,False,12,140.16,Right,Same,-48.12793,3,1861.69,7.006303,3389.458,245.7199,232.91,287.81,0,0,1639.17,1933.818,2691.754,129626,68602,126317,93679
Feet,_2D,True,13,148.28,Left,Same,-48.12793,3,2081.69,0,3554.742,93.74998,85.07999,124.5199,0,0,465.5309,1338.193,49.85907,50964,26028,23589,18116
Feet,_2D,True,14,155.76,Left,Same,-216.6577,3,2223.104,0,3774.749,86.37996,63.11996,98.68001,0,0,1520.697,412.6922,39.95352,18857,0,24081,10629
Feet,_2D,True,15,166.16,Left,Same,-433.3154,3,2184.901,0,4039.675,110.25,108.1101,139.28,0,0,465.9952,918.8385,68.19954,81214,60498,45045,29396
