method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Head,_3D,True,0,0,Straight,Same,0,3,30,0,23.73041,74.06003,60.14,18.51004,0,0,414.0387,764.8755,387.4216,11704,9252,0,20642
Head,_3D,True,1,15.44,Right,Same,168.5298,3,171.4133,0,253.3462,312.3,133.03,89.44998,0,0,3451.041,2660.064,2257.026,4150,11449,25906,66430
Head,_3D,True,2,30.12,Left,Up,168.5298,41.2026,388.071,0,506.2356,227.04,124.9499,113.36,0,0,1781.161,2105.434,1916.805,9587,12449,48627,47075
Head,_3D,True,3,41.54001,Straight,Same,168.5298,41.2026,608.071,0,727.6703,187.47,108.5,69.50999,0,0,2024.201,1176.903,1523.878,758,9245,56060,51475
Head,_3D,True,4,54.75998,Left,Up,2.560349,79.4052,747.3359,0,984.8777,164.36,124.96,75.50998,0,0,1751.995,978.1702,1572.605,8392,4677,86672,64837
Head,_3D,True,5,67.29999,Left,Up,-210.8058,117.6078,709.7137,0,1228.203,140.04,113.44,90.12003,0,0,1441.177,1654.034,837.3594,27810,27739,93111,66313
Head,_3D,True,6,79.60001,Straight,Same,-427.4636,117.6078,671.5111,0,1462.453,166.84,99.46996,107.61,0,0,1387.561,3363.225,1511.524,23215,16583,72670,71791
Head,_3D,True,7,91.97998,Right,Down,-593.433,79.4052,810.776,0,1703.669,166.21,108.22,113.61,0,0,2438.498,1290.535,1536.449,17107,21271,85439,73261
Head,_3D,True,8,102.94,Right,Up,-593.433,117.6078,1027.434,0,1954.099,146.02,103.99,85.19003,0,0,1027.647,1312.206,1913.005,28501,15649,72902,69285
Head,_3D,True,9,114.18,Right,Down,-427.4635,79.4052,1166.699,0,2201.298,150.4601,97.40999,83.10999,0,0,1403.027,1567.685,1503.794,52483,32389,64672,65027
Head,_3D,True,10,124.54,Straight,Down,-261.4941,41.2026,1305.964,0,2421.77,101.5299,119.74,89.15002,0,0,1736.638,1505.601,1133.565,68718,39916,51996,56470
Head,_3D,True,11,136.36,Left,Down,-261.494,3.000004,1522.621,0,2667.249,162.8801,118.25,101.36,0,0,1386.276,1906.314,2599.608,66221,32450,58846,57649
Head,_3D,True,12,148.84,Right,Same,-92.96425,3.000004,1664.034,0,2913.488,151.07,111.2,124.02,0,0,2057.223,1970.779,2597.018,45644,24299,51363,55454
Head,_3D,True,13,160.12,Straight,Up,73.00522,41.20261,1803.299,0,3144.75,143.85,124.98,86.12,0,0,950.7598,1878.127,2228.259,28437,13160,28522,51722
Head,_3D,True,14,171,Right,Down,286.3714,3.000011,1765.677,0,3389.374,153.86,132.63,88.04999,0,0,1976.454,858.7949,790.7352,18085,16192,23422,39411
Head,_3D,True,15,183.6,Left,Same,454.9012,3.000011,1907.09,0,3644.263,195.75,130.16,139.95,0,0,1669.112,2053.189,827.3284,16433,26222,45493,43685
