method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Head,_2D,True,0,0,Straight,Same,0,3,30,0,22.13707,656.11,463.2393,390.3101,0,0,1574.123,1005.451,2236.624,0,4535,0,0
Head,_2D,True,1,21.98,Right,Same,168.5298,3,171.4133,0,246.0003,1169.03,738.4194,873.1901,0,0,3898.016,3791.112,4178.1,4419,18881,13506,20250
Head,_2D,True,2,38.8,Left,Same,168.5298,3,391.4133,0,477.8926,1299.2,655.0303,464.8601,0,0,2347.043,2264.784,2351.243,2458,9953,0,148
Head,_2D,True,3,54.09999,Right,Same,337.0595,3,532.8265,0,713.5438,943.49,605.9395,448.2899,0,0,1238.319,1775.488,1988.13,0,5790,0,0
Head,_2D,True,4,66.42,Straight,Same,505.5893,3,674.2398,0,939.1506,1004.94,518.291,461.22,0,0,879.9548,1365.043,1602.93,0,7074,0,0
Head,_2D,True,5,78.16,Left,Same,505.5893,3,894.2398,0,1167.6,419.5001,477.9814,391.6697,0,0,1257.103,2020.053,2282.375,3972,9251,0,0
Head,_2D,True,6,89.44,Left,Same,337.0596,3,1035.653,0,1394.178,709.3,483.0903,426.46,0,0,1234.064,1412.136,1212.21,0,0,0,0
Head,_2D,True,7,99.60001,Straight,Same,168.5298,3,1177.066,0,1615.972,473.85,476.4404,381.2601,0,0,123.3963,1967.119,1199.348,0,0,0,0
Head,_2D,True,8,110.82,Left,Same,-48.12793,3,1138.864,0,1844.553,448.36,500.9392,429.7997,0,0,498.6064,2024.779,2264.229,0,4854,0,0
Head,_2D,True,9,123.16,Right,Same,-216.6577,3,1280.277,0,2088.913,498.53,480.5593,425.0799,0,0,504.0963,1694.324,1214.171,0,0,0,0
Head,_2D,True,10,134.24,Right,Same,-216.6577,3,1500.277,0,2313.257,470.6,479.45,413.2296,0,0,861.0029,1027.1,1566.871,0,0,0,0
Head,_2D,True,11,143.42,Straight,Same,-216.6577,3,1720.277,0,2532.108,338.5299,464.4194,376.9098,0,0,488.0144,1591.148,2617.891,0,0,0,0
Head,_2D,True,12,154.48,Right,Same,-48.12793,3,1861.69,0,2768.04,477.6698,469.6799,439.96,0,0,1569.305,1366.81,1566.849,0,0,0,0
Head,_2D,False,13,176.26,Left,Same,-48.12793,3,2081.69,6.712568,3187.695,975.2299,628.3308,552.2501,0,0,3504.676,2900.073,2454.162,0,0,0,0
Head,_2D,True,14,178.28,Left,Same,-216.6577,3,2223.104,0,3241.461,207.58,368.2793,345.1201,0,0,25.29999,412.978,27.87903,0,0,0,0
Head,_2D,True,15,190.58,Left,Same,-433.3154,3,2184.901,0,3477.119,524.0301,537.29,434.2007,0,0,525.8587,1806.715,508.6154,0,0,0,0
