method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Head,_2D,True,0,0,Straight,Same,0,3,30,0,24.80933,101.84,109.67,97.8,0,0,55.86917,400.4077,26.01764,0,17122,0,12326
Head,_2D,True,1,13.44,Right,Same,168.5298,3,171.4133,0,250.832,218.5101,204.4701,153.82,0,0,598.65,2345.835,814.8999,72585,109698,28543,98296
Head,_2D,True,2,23.84,Straight,Same,337.0596,3,312.8265,0,473.8383,177.1,206.73,171.3801,0,0,587.3491,1211.375,802.7242,88749,121379,61078,93167
Head,_2D,True,3,34.95999,Left,Same,337.0596,3,532.8265,0,707.9523,361.29,173.92,167.53,0,0,601.7011,1216.712,1526.487,61219,128178,58091,84691
Head,_2D,True,4,43.78,Straight,Same,337.0596,3,752.8265,0,926.5111,260.04,193.12,150.29,0,0,560.825,2259.609,792.0317,60914,97836,66384,67378
Head,_2D,True,5,53.79999,Left,Same,168.5298,3,894.2398,0,1164.914,439.2,175.21,156.4701,0,0,588.9874,1969.343,804.9276,80288,125818,70746,71131
Head,_2D,True,6,63.92,Right,Same,168.5298,3,1114.24,0,1411.742,661.72,197.34,186.0899,0,0,220.3989,2024.337,475.3152,82137,126867,83584,84143
Head,_2D,True,7,76.68001,Left,Same,3.051758E-05,3,1255.653,0,1692.668,566,235.9001,197.69,0,0,1019.226,2148.794,1261.906,98568,150230,83991,98641
Head,_2D,True,8,85.27998,Straight,Same,-168.5298,3,1397.066,0,1911.293,351.04,209.92,154.85,0,0,962.2416,1209.118,807.2986,71330,100525,66221,77030
Head,_2D,True,9,94.74001,Right,Same,-168.5298,3,1617.066,0,2138.526,452.34,225.46,204.81,0,0,256.0426,917.9642,839.6128,85274,107612,77774,75896
Head,_2D,True,10,103.28,Straight,Same,-168.5298,3,1837.066,0,2361.437,174.65,224.37,141.6201,0,0,255.0828,1878.663,1857.734,71300,87957,70054,45920
Head,_2D,True,11,112.22,Left,Same,-337.0595,3,1978.48,0,2592.572,419.19,198.91,177.24,0,0,1355.479,1231.52,2259.892,55848,103392,56878,64776
Head,_2D,True,12,123.52,Right,Same,-337.0595,3,2198.48,0,2856.61,546.03,256.04,230.27,0,0,222.2526,2133.594,2660.573,76896,134495,79338,96031
Head,_2D,True,13,138.28,Left,Same,-505.5893,3,2339.893,0,3137.106,676.0001,278.0699,299.78,0,0,1814.647,2204.687,2356.228,100328,165175,91159,104743
Head,_2D,True,14,148.1,Right,Same,-505.5893,3,2559.893,0,3374.969,472.5,273.18,221.2199,0,0,1349.833,948.6287,822.9193,77246,112287,71543,88684
Head,_2D,True,15,158.16,Left,Same,-674.1191,3,2701.306,0,3619.133,651.7401,246,202.0299,0,0,1383.684,1645.837,830.6212,84645,117550,64235,95846
