method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Hand,_2D,True,0,0,Straight,Same,0,3,30,0,22.32501,82.49004,71.65004,25.97002,0,0,1137.134,1107.825,24.73122,37671,75744,43516,74893
Hand,_2D,True,1,9.720001,Right,Same,168.5298,3,171.4133,0,291.7665,527.44,95.13995,172.71,0,0,4434.642,1051.376,1521.393,54264,144388,83915,133714
Hand,_2D,True,2,16.16,Straight,Same,337.0596,3,312.8265,0,517.6655,357.69,107.79,99.06001,0,0,1904.016,451.4659,1141.995,35925,87609,56201,82889
Hand,_2D,False,3,26.88,Left,Same,337.0596,3,532.8265,3.872334,919.0767,667.18,157.07,256.61,0,0,3019.291,596.4595,1205.38,60891,142681,79409,126580
Hand,_2D,True,4,30.16,Straight,Same,337.0596,3,752.8265,0,1032.481,80.69,54.22,50.17003,0,0,779.3309,420.1468,380.7473,20707,49212,29675,46192
Hand,_2D,True,5,38.44,Left,Same,168.5298,3,894.2398,0,1303.571,496.29,103.14,153.95,0,0,2967.48,509.6274,1510.887,54353,122479,65816,95248
Hand,_2D,True,6,48.76001,Right,Same,168.5298,3,1114.24,0,1594.814,667.4598,149.24,176.69,0,0,1939.392,948.0518,1546.84,70366,150018,88719,134802
Hand,_2D,True,7,57.04001,Left,Same,3.051758E-05,3,1255.653,0,1859.125,486.47,108.22,170.93,0,0,2631.434,894.8068,2243.216,61175,124245,66858,114586
Hand,_2D,True,8,62.36,Straight,Same,-168.5298,3,1397.066,0,2088.683,149.33,53.79001,66.85001,0,0,2266.911,760.7732,758.5614,37350,78029,47884,73656
Hand,_2D,True,9,70.10001,Right,Same,-168.5298,3,1617.066,0,2335.359,486.89,99.12999,169.11,0,0,1571.74,456.3397,2586.208,48493,122663,51224,99349
Hand,_2D,True,10,76.46001,Straight,Same,-168.5298,3,1837.066,0,2559.574,149.07,115.41,99.56003,0,0,1571.522,1140.091,1851.582,46058,87297,58875,93029
Hand,_2D,True,11,84.30002,Left,Same,-337.0595,3,1978.48,0,2814.942,543.33,91.51004,151.81,0,0,2262.063,1584.683,1154.531,47551,108173,54833,95667
Hand,_2D,True,12,93.45999,Right,Same,-337.0595,3,2198.48,0,3101.597,510.08,106.57,191.44,0,0,3357.797,557.6912,2245.096,59078,119019,77583,106910
Hand,_2D,True,13,102.76,Left,Same,-505.5893,3,2339.893,0,3401.017,573.23,100.27,193.82,0,0,2645.794,1321.454,2296.106,65924,128051,68981,104250
Hand,_2D,True,14,110.7,Right,Same,-505.5893,3,2559.893,0,3665.129,591.0601,140.24,154.8,0,0,1553.414,523.7756,1895.103,54227,101110,61989,84427
Hand,_2D,True,15,119.48,Left,Same,-674.1191,3,2701.306,0,3906.981,736.6801,137.17,187.38,0,0,2305.858,1592.96,3318.339,56607,111080,64674,92039
