method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Head,_3D,True,0,0,Straight,Same,0,3,30,0,22.89254,803.7502,547.92,498.8903,0,0,6498.313,3345.316,5436.738,0,32897,0,48181
Head,_3D,True,1,12.48,Right,Same,168.5298,3,171.4133,0,261.8607,172.71,300.2901,222.04,0,0,4339.523,2062.12,2322.005,0,39868,0,43843
Head,_3D,True,2,21.32,Left,Up,168.5298,41.2026,388.071,0,506.5201,126.74,259.89,192.14,0,0,1803.807,1583.409,2247.574,2111,13293,0,37707
Head,_3D,True,3,30.28,Straight,Same,168.5298,41.2026,608.071,0,738.2316,146.97,259.64,268.16,0,0,1866.04,883.7908,1567.709,14186,27154,48,36605
Head,_3D,True,4,40.3,Left,Up,2.560349,79.4052,747.3359,0,987.5432,197.52,241.09,253.1,0,0,1926.387,1038.208,1616.807,7732,19945,4886,50618
Head,_3D,True,5,48.89999,Left,Up,-210.8058,117.6078,709.7137,0,1238.812,170.09,238.75,211.2401,0,0,1051.272,853.817,1165.392,15792,29119,7064,45518
Head,_3D,True,6,57.58,Straight,Same,-427.4636,117.6078,671.5111,0,1469.159,103.3599,265.84,203.08,0,0,1462.238,1167.605,2961.258,16720,17518,2216,23310
Head,_3D,True,7,67.98,Right,Down,-593.433,79.4052,810.776,0,1717.46,162.34,251.0099,229.68,0,0,1467.02,2062.222,2703.732,47318,32910,3415,33821
Head,_3D,True,8,75.81999,Right,Up,-593.433,117.6078,1027.434,0,1950.769,147.42,269.52,225.77,0,0,978.4098,1556.825,2953.287,16454,66746,0,35145
Head,_3D,True,9,84.96001,Right,Down,-427.4635,79.4052,1166.699,0,2204.869,145.12,246.17,226.86,0,0,1345.041,1973.966,1213.656,49991,43967,0,8377
Head,_3D,True,10,93.10001,Straight,Down,-261.4941,41.2026,1305.964,0,2432.446,154.36,243.8699,233.6899,0,0,2023.935,856.4791,4020.56,1215,37208,7172,4178
Head,_3D,True,11,100.62,Left,Down,-261.494,3.000004,1522.621,0,2677.476,127.37,234.96,210.02,0,0,879.5962,959.8682,2248.4,13555,42870,4745,2748
Head,_3D,True,12,108.32,Right,Same,-92.96425,3.000004,1664.034,0,2936.852,141.96,268.42,225.85,0,0,2347.509,1303.118,1158.46,12973,30763,0,8676
Head,_3D,True,13,115.08,Straight,Up,73.00522,41.20261,1803.299,0,3170.506,112.78,237.66,197.03,0,0,898.2063,1200.228,788.3321,14776,56016,8938,28286
Head,_3D,True,14,134.1,Right,Down,286.3714,3.000011,1765.677,0,3680.692,304.31,344.97,384.33,0,0,4749.802,3320.952,4884.602,76617,151068,3887,78448
Head,_3D,True,15,145.38,Left,Same,454.9012,3.000011,1907.09,0,3974.032,199.36,320.06,283.2,0,0,2816.225,1367.827,2698.516,43315,109666,7661,63442
