method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Feet,_2D,True,0,0,Straight,Same,0,3,30,0,21.94422,375.41,294.7901,267.11,0,0,2707.023,6065.053,191.714,56887,133221,92909,85643
Feet,_2D,False,1,22.92001,Right,Same,168.5298,3,171.4133,7.940183,411.8552,844.17,354.3499,430.4101,0,0,4626.539,802.8331,1348.506,160359,148310,98383,78632
Feet,_2D,True,2,37.92001,Left,Same,168.5298,3,391.4133,0,596.1807,717.2299,210.89,306.7799,0,0,4467.835,1232.198,2268.51,62163,110654,37701,44702
Feet,_2D,True,3,60.24002,Right,Same,337.0595,3,532.8265,0,917.7806,1065.07,338.3199,368.68,0,0,1025.624,675.5115,592.0298,22582,29366,213396,89382
Feet,_2D,True,4,87.51999,Straight,Same,505.5893,3,674.2398,0,1309.898,1490.86,362.0799,585.17,0,0,4691.591,1443.581,5361.758,218882,158294,34941,32533
Feet,_2D,True,5,100.88,Left,Same,505.5893,3,894.2398,0,1539.504,1070.62,228.75,296.7,0,0,1008.076,574.5505,158.8492,20080,41710,116480,78419
Feet,_2D,True,6,121.6,Left,Same,337.0596,3,1035.653,0,1853.76,1080.13,362.2301,444.1199,0,0,4279.283,1404.402,2770.499,158386,249473,34266,47039
Feet,_2D,False,7,158.34,Straight,Same,168.5298,3,1177.066,7.866472,2250.475,1392.67,552.1298,794.9102,0,0,4134.601,3132.885,5475.13,166381,260073,117538,64032
Feet,_2D,True,8,171.08,Left,Same,-48.12793,3,1138.864,0,2423.76,452.91,239.49,321.5201,0,0,1301.163,1927.632,818.595,37340,62588,34464,31317
Feet,_2D,True,9,188.02,Right,Same,-216.6577,3,1280.277,0,2735.493,736.26,279.86,346.97,0,0,1396.043,967.2096,2016.928,5289,18206,110939,102820
Feet,_2D,True,10,199.28,Right,Same,-216.6577,3,1500.277,0,2953.196,350.87,300.73,185.18,0,0,2474.178,1596.098,98.97899,0,5445,7047,21693
Feet,_2D,True,11,208.22,Straight,Same,-216.6577,3,1720.277,0,3172.227,231.97,215.0201,139.49,0,0,938.7531,815.2303,65.88867,2508,12513,8112,14398
Feet,_2D,True,12,219.54,Right,Same,-48.12793,3,1861.69,0,3431.61,352.7899,248.5,258.9799,0,0,1307.318,1250.146,471.3119,3985,10139,81914,55394
Feet,_2D,True,13,238.8,Left,Same,-48.12793,3,2081.69,0,3768.851,567.0198,331.6402,354.77,0,0,3977.345,1075.358,1668.772,151983,160147,26088,21460
Feet,_2D,True,14,256.24,Left,Same,-216.6577,3,2223.104,0,3989.362,336.0001,287.9401,284.69,0,0,2340.065,1275.72,849.4973,18778,47499,2794,11637
Feet,_2D,True,15,270.52,Left,Same,-433.3154,3,2184.901,0,4231.488,391.0699,280.6101,223.13,0,0,2571.058,1961.225,477.7175,61581,96331,7865,13355
