method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Head,_3D,True,0,0,Straight,Same,0,3,30,0,23.37278,128.55,229.14,100.74,0,0,822.7983,787.3079,395.9122,0,38746,0,8976
Head,_3D,True,1,11.42,Right,Same,168.5298,3,171.4133,0,247.5154,166.93,264.73,205.1999,0,0,524.7013,1571.896,2219.1,0,93713,0,24861
Head,_3D,True,2,20.84,Left,Up,168.5298,41.2026,388.071,0,514.8423,189.98,278.46,165.42,0,0,1684.42,1697.662,3664,0,17413,0,884
Head,_3D,True,3,28.42,Straight,Same,168.5298,41.2026,608.071,0,741.9943,174.32,247.17,167.1299,0,0,1278.006,1154.193,1484.693,0,887,0,2839
Head,_3D,True,4,39.06,Left,Up,2.560349,79.4052,747.3359,0,1006.937,221.19,268.2899,194.47,0,0,1635.988,1665.548,2945.439,10878,38762,3552,24882
Head,_3D,True,5,47.66,Left,Up,-210.8058,117.6078,709.7137,0,1246.375,202.97,239.8799,130.65,0,0,1586.478,1235.135,2571.464,66545,66613,53011,36486
Head,_3D,True,6,56.04001,Straight,Same,-427.4636,117.6078,671.5111,0,1482.951,165.0801,213.9901,151.42,0,0,1303.301,1156.057,2199.042,55455,53683,43009,43398
Head,_3D,True,7,64.60001,Right,Down,-593.433,79.4052,810.776,0,1726.249,176.22,272.23,154.63,0,0,517.8851,1208.974,2927.703,54300,75554,61512,41466
Head,_3D,True,8,72.78,Right,Up,-593.433,117.6078,1027.434,0,1957.29,174.42,248.88,144.84,0,0,1927.881,1168.893,1839.163,44844,60700,47016,35884
Head,_3D,True,9,80.98,Right,Down,-427.4635,79.4052,1166.699,0,2190.107,171.77,284.87,143.19,0,0,1619.492,2954.465,3999.264,63739,75290,60714,40648
Head,_3D,True,10,89.46001,Straight,Down,-261.4941,41.2026,1305.964,0,2422.094,217.49,292.33,165.91,0,0,2330.593,1506.487,2920.426,48810,57189,52393,43294
Head,_3D,True,11,98.24001,Left,Down,-261.494,3.000004,1522.621,0,2662.066,216.3901,277.81,169.02,0,0,1958.183,861.2787,2575.357,77125,79728,77130,49607
Head,_3D,True,12,106.74,Right,Same,-92.96425,3.000004,1664.034,0,2904.488,211.33,277.45,151.75,0,0,876.3057,869.3049,1856.47,65185,78469,72457,36003
Head,_3D,True,13,115.1,Straight,Up,73.00522,41.20261,1803.299,0,3148.322,212.9301,254.65,138.11,0,0,1278.228,1211.012,1854.476,73886,79243,64408,63159
Head,_3D,True,14,124.54,Right,Down,286.3714,3.000011,1765.677,0,3404.807,196.11,290.5699,136.79,0,0,1250.113,882.5933,4729.057,99905,100477,82852,71222
Head,_3D,True,15,135.1,Left,Same,454.9012,3.000011,1907.09,0,3665.481,253.21,305.97,170.95,0,0,904.3139,1658.071,3661.062,97751,102571,88395,77905
