method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Feet,_3D,True,0,0,Straight,Same,0,3,30,0,25.69206,21.90999,148.09,24.93002,0,0,800.7809,84.77551,30.9469,0,0,0,0
Feet,_3D,True,1,9.399963,Straight,Same,0,3,250,0,246.0811,113.6,237.3199,89.75,0,0,881.5663,788.2509,69.81592,14218,22026,18629,24147
Feet,_3D,True,2,19.12,Right,Same,168.5298,3,391.4133,0,497.8767,117.97,256.68,137.65,-1,0,1625.886,868.9258,2253.87,13708,10311,53307,66231
Feet,_3D,False,3,44.19995,Left,Up,168.5298,41.2026,608.071,5.308397,983.9413,282.12,434.6401,342.23,0,0,2146.692,1153.51,934.6053,133715,189621,48229,140435
Feet,_3D,False,4,57.59998,Straight,Up,168.5298,79.4052,824.7287,50.67886,1316.15,217.52,256.5801,246.1301,0,0,2395.667,1132.946,4165.366,65963,92154,30832,58889
Feet,_3D,False,5,84.01996,Straight,Down,168.5298,41.2026,1041.386,52.86758,1689.813,258.62,344.97,349.06,0,0,1780.802,1681.012,5666.038,75477,131417,96335,131469
Feet,_3D,False,6,100.88,Straight,Up,168.5298,79.4052,1258.044,12.71442,2058.466,271.7,405.3801,377.66,0,0,294.0116,923.9114,1561.833,116093,49453,131479,96250
Feet,_3D,False,7,107.04,Right,Down,334.4992,41.20259,1397.309,35.48582,2193.916,111.37,240.4999,141.7,0,0,1194.507,288.071,449.104,46564,6555,33583,7638
Feet,_3D,False,8,120.98,Left,Up,334.4992,79.4052,1613.967,104.9325,2549.063,203.87,402.11,211.04,0,0,2400.719,588.5831,1341.577,47594,191701,20062,64882
Feet,_3D,False,9,148.58,Left,Down,168.5298,41.20259,1753.232,28.86936,3127.697,376.8602,541.48,482.1301,0,0,848.2615,1921.889,2492.314,139192,107031,123280,105633
Feet,_3D,False,10,205.68,Right,Up,168.5297,79.40519,1969.889,15.36132,4579.818,860.8103,1035.3,937.3,0,1,1493.665,3701.425,7708.695,229326,313465,200052,326199
Feet,_3D,False,11,225.56,Right,Up,334.4991,117.6078,2109.154,11.44777,4978.083,224.28,438.08,279.9399,0,0,1089.295,1974.672,5315.968,11149,34471,144883,100420
Feet,_3D,False,12,255.4,Left,Down,334.4991,79.40519,2325.812,58.90664,5838.856,403.0001,646.8099,493.27,0,0,702.1694,2523.624,3268.146,187185,123141,139386,31534
Feet,_3D,False,13,279.28,Right,Down,500.4685,41.20259,2465.077,10.57716,6400.47,368.78,709.88,361.3901,0,0,459.5327,3579.709,5510.541,61633,22272,184212,145638
Feet,_3D,True,14,365.18,Left,Down,500.4685,2.999996,2681.735,0,7865.401,1192.509,1581.94,1186.52,0,0,10663.02,8147.879,16488.06,84131,1995,140858,295840
Feet,_3D,True,15,385.8799,Left,Same,331.9387,2.999996,2823.148,0,8362.021,241.09,502.4901,286.4499,0,0,3807.558,2397.144,3536.402,130280,91511,23912,28270
