method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Hand,_2D,True,0,0,Straight,Same,0,3,30,0,23.18998,33.47998,24.13004,22.41998,0,0,771.6198,758.2113,18.11288,0,0,0,0
Hand,_2D,True,1,12.66,Straight,Same,0,3,250,0,245.373,338.83,150.56,80.2,0,0,2719.155,2731.946,1528.04,802,28654,9502,17424
Hand,_2D,True,2,26.12001,Right,Same,168.5298,3,391.4133,0,480.606,1252.18,173.6401,232.59,0,0,3371.567,1650.769,1544.061,0,25217,0,30267
Hand,_2D,True,3,37.86,Left,Same,168.5298,3,611.4133,0,734.0417,623.26,231.56,216.86,0,0,3359.661,1676.142,1183.262,0,40643,102,34861
Hand,_2D,True,4,46.46001,Straight,Same,168.5298,3,831.4133,0,956.2673,632.03,180.16,108.33,0,0,2282.394,1542.627,796.178,0,13603,0,19102
Hand,_2D,True,5,56.46001,Right,Same,337.0595,3,972.8265,0,1192.606,957.1301,218.67,218.44,0,0,2644.251,863.1878,458.0248,0,6233,538,26226
Hand,_2D,True,6,66.40001,Left,Same,337.0595,3,1192.827,0,1432.402,634.0699,188.5,184.04,0,0,2307.59,1295.732,1206.704,0,20643,0,12636
Hand,_2D,True,7,75.52,Straight,Same,337.0595,3,1412.827,0,1651.384,610.03,199.28,153.07,0,0,1204.998,1910.968,450.4193,0,1900,0,2483
Hand,_2D,True,8,83.82001,Right,Same,505.5893,3,1554.24,0,1876.095,516.6399,204.68,187.55,0,0,1553.133,124.0048,98.92068,0,11343,0,33173
Hand,_2D,True,9,97.5,Left,Same,505.5893,3,1774.24,0,2210.192,979.28,311.2,215.36,0,0,4145.958,2078.448,1594.502,0,8648,58,38427
Hand,_2D,True,10,106.9,Straight,Same,505.5893,3,1994.24,0,2440.752,887.7401,272.86,181.7601,0,0,2991.837,1585.184,450.6029,0,8914,0,16169
Hand,_2D,True,11,117.54,Right,Same,674.1191,3,2135.653,0,2663.286,668.62,308.5399,184.9,0,0,3728.965,517.7648,464.4631,0,48,0,2117
Hand,_2D,False,12,138.42,Left,Same,674.1191,3,2355.653,6.850312,3092.929,1993.77,472.8301,516.0599,0,0,6393.435,1389.43,1659.317,0,6182,0,11931
Hand,_2D,True,13,141.46,Left,Same,505.5893,3,2497.066,0,3143.274,270.01,149.39,134.8,0,0,1102.804,39.87021,1104.01,0,0,0,0
Hand,_2D,True,14,154.02,Left,Same,288.9316,3,2458.864,0,3394.86,1354.5,343.0602,422.2199,0,0,2315.978,903.5123,1184.306,0,0,123,6836
Hand,_2D,True,15,166.78,Right,Same,120.4018,3,2600.277,0,3626.407,1658.25,287.3699,377.51,0,0,3741.263,898.3854,1932.193,0,0,0,881
