method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Hand,_2D,True,0,0,Straight,Same,0,3,30,0,24.73347,152.73,60.79997,31.32999,0,0,423.9089,586.7059,781.9544,2523,34142,0,5189
Hand,_2D,False,1,13.94,Straight,Same,0,3,250,5.370831,356.697,818.1,279.77,243.58,0,0,2076.237,2077.393,2352.229,8877,141834,21821,88544
Hand,_2D,False,2,25.86,Right,Same,168.5298,3,391.4133,13.02577,700.8502,605.3,259.7,280.45,0,0,951.4233,592.1648,1617.621,14727,112692,2503,30879
Hand,_2D,True,3,28.2,Left,Same,168.5298,3,611.4133,0,781.3298,140.81,93.12,82.70003,0,0,411.0663,75.03329,60.7583,6274,25952,0,0
Hand,_2D,True,4,35.68001,Straight,Same,168.5298,3,831.4133,0,995.3011,531.29,225.48,141.5199,0,0,910.3096,892.7007,871.953,8102,61219,0,7990
Hand,_2D,True,5,45.8,Right,Same,337.0595,3,972.8265,0,1252.487,760.1799,216.3301,256.77,0,0,587.4376,950.0089,880.7555,26437,83379,1803,19650
Hand,_2D,True,6,53.94,Left,Same,337.0595,3,1192.827,0,1471.273,340.38,203.8,136.37,0,0,1667.532,469.1572,2242.479,22584,90149,0,37818
Hand,_2D,True,7,61.36,Straight,Same,337.0595,3,1412.827,0,1692.788,306.97,174.81,140.56,0,0,477.6672,434.9968,419.7494,1790,70404,11318,30362
Hand,_2D,True,8,72.16,Right,Same,505.5893,3,1554.24,0,1973.588,802.78,248.1599,322.34,0,0,198.4413,691.4675,1332.159,5206,87619,26026,53304
Hand,_2D,False,9,84.75999,Left,Same,505.5893,3,1774.24,5.356633,2320.949,785.2501,276.41,240.0399,0,0,1760.993,1262.945,2036.86,22024,112096,12788,45979
Hand,_2D,True,10,88.42,Straight,Same,505.5893,3,1994.24,0,2441.182,316.33,112.75,146.35,-2,0,84.27351,1511.799,56.86917,0,7239,0,7375
Hand,_2D,True,11,101.54,Right,Same,674.1191,3,2135.653,0,2761.075,713.8901,306.9199,330.4399,0,0,1361.364,1456.859,2429.236,10303,122739,28566,69223
Hand,_2D,True,12,110.56,Left,Same,674.1191,3,2355.653,0,3017.875,500.11,211.49,259.48,0,0,1651.858,872.9845,1570.106,18402,63768,1960,56555
Hand,_2D,True,13,117.92,Left,Same,505.5893,3,2497.066,0,3247.811,620.94,195.6199,186.39,0,0,902.8265,528.8254,1201.715,5127,47251,25,37875
Hand,_2D,True,14,125.14,Left,Same,288.9316,3,2458.864,0,3474.212,504.39,211.88,213.91,0,0,907.7985,508.8237,1562.054,0,30409,0,23135
Hand,_2D,True,15,136.1,Right,Same,120.4018,3,2600.277,0,3795.357,962.7902,324.8,318.89,0,0,1724.234,610.7317,2711.378,3015,62299,2575,43844
