method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Head,_3D,True,0,0,Straight,Same,0,3,30,0,24.84192,65.46001,82.25998,78.73001,0,0,415.2087,1841.494,753.0103,90784,138012,151154,106942
Head,_3D,True,1,33.12001,Right,Same,168.5298,3,171.4133,0,252.443,245.98,198.38,234.15,0,0,2717.529,3750.298,2971.362,317027,440549,546737,400738
Head,_3D,True,2,64.90001,Left,Up,168.5298,41.2026,388.071,0,487.5601,279.2098,196.6401,243.5101,0,0,3039.408,2713.778,1886.577,294297,451970,538012,404000
Head,_3D,True,3,94.52,Left,Up,2.560349,79.4052,527.3359,0,731.8536,283.8799,224.15,220.1199,0,0,3389.732,3046.602,1528.357,280991,419390,485546,365729
Head,_3D,True,4,121.98,Left,Same,-214.0974,79.4052,489.1333,0,965.1181,279.95,220.8999,229.6,0,0,2653.26,2689.365,1519.906,299245,421302,441548,341268
Head,_3D,True,5,147.56,Right,Up,-380.0668,117.6078,628.3982,0,1205.761,262.95,197.8901,202.19,0,0,2994.497,2312.346,2945.326,282731,397036,416095,341600
Head,_3D,True,6,176.52,Right,Down,-380.0667,79.4052,845.0559,0,1439.006,304.21,223.8,236.0101,0,0,2713.175,4450.206,5116.501,305359,440077,450280,366648
Head,_3D,False,7,222.36,Right,Up,-214.0973,117.6078,984.3208,7.689518,1793.486,378.1899,297.55,297.5999,0,0,2078.132,5410.949,9847.219,374424,680150,729785,562252
Head,_3D,True,8,233.92,Straight,Same,-45.5675,117.6078,1125.734,0,1908.576,114.44,94.63,68.54002,0,0,403.0227,2188.888,1465.142,83494,168804,179465,155701
Head,_3D,True,9,256.74,Straight,Down,120.4019,79.4052,1264.999,0,2135.184,191.47,180.95,149.83,0,0,1607.451,2589.058,416.3016,174492,331410,370875,269845
Head,_3D,True,10,286.66,Left,Same,120.402,79.4052,1484.999,0,2369.272,284.9601,234.02,225.68,0,0,2722.897,3465.674,4420.988,196602,427121,468069,368789
Head,_3D,True,11,315.2,Right,Down,286.3714,41.2026,1624.264,0,2608.847,256.03,210.56,199.2901,0,0,4132.525,2667.627,6916.552,128070,388672,451919,368696
Head,_3D,False,12,370.34,Left,Same,286.3715,41.2026,1844.264,5.207849,3019.485,524.8198,329.2601,343.82,0,0,6052.669,6093.705,3751.658,224554,784012,876967,731255
Head,_3D,True,13,376.82,Right,Down,452.3409,2.999992,1983.529,0,3084.72,97.71004,101.04,49.09003,0,0,435.5178,743.4897,1102.152,28263,96000,109254,82763
Head,_3D,True,14,403.1,Left,Up,452.3409,41.20259,2200.186,0,3329.277,240.1301,233.3999,217.74,0,0,1234.814,3470.459,3686.698,93164,404267,391130,340696
Head,_3D,True,15,429.92,Straight,Down,452.341,2.999992,2416.844,0,3557.978,239.7599,180.4301,167.29,0,0,2316.079,3679.055,7259.753,48943,372287,385329,308270
