method,mode,coin,time,direction,distance
Button,_2D,1,53.5,Right,Medium
Button,_2D,2,15.3,Right,Short
Button,_2D,3,58.14,Forward,Short
Button,_2D,4,25.6,Forward,Short
Button,_2D,5,72.68,Forward,Short
Button,_2D,6,40.43999,Right,Short
Button,_2D,7,77.26,Right,Short
Button,_2D,8,43.75999,Forward,Medium
Button,_2D,9,85.48,Right,Short
