method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Hand,_3D,True,0,0,Straight,Same,0,3,30,0,22.50569,113.88,182.87,69.91,0,0,1237.417,411.1889,1129.716,21680,78335,207,52373
Hand,_3D,True,1,12.54001,Right,Same,168.5298,3,171.4133,0,323.4218,672.0101,272.3101,219.8601,0,0,2672.775,594.8546,1544.885,1091,116352,0,23048
Hand,_3D,True,2,31.54001,Left,Up,168.5298,41.2026,388.071,0,778.2547,1033.52,323.05,386.0601,-3,13,2392.794,1315.73,5574.171,2389,115595,1369,90964
Hand,_3D,True,3,39.04001,Straight,Same,168.5298,41.2026,608.071,0,1001.46,186.29,175.92,126.01,0,0,812.8697,78.47888,1842.626,8324,53806,1750,42708
Hand,_3D,False,4,51.77997,Left,Up,2.560349,79.4052,747.3359,7.854354,1344.305,542.6,244.47,255.07,-2,28,871.1331,600.068,4788.631,1346,85424,13717,32542
Hand,_3D,False,5,68.89996,Left,Up,-210.8058,117.6078,709.7137,35.77652,1781.534,767.4299,314.64,424.62,0,20,961.9489,844.7009,4163.275,40818,159151,11385,52946
Hand,_3D,False,6,83.53998,Straight,Same,-427.4636,117.6078,671.5111,8.457165,2124.806,481.2,254.7301,289.6999,-21,0,1688.942,1266.16,3729.919,53576,154507,6786,33673
Hand,_3D,False,7,96.62,Right,Down,-593.433,79.4052,810.776,19.0163,2345.505,435.27,232.13,196.61,-14,25,169.8644,582.1921,3362.006,53596,158034,0,22001
Hand,_3D,False,8,106.5,Right,Up,-593.433,117.6078,1027.434,10.89133,2578.515,337.91,167.49,194.34,-13,9,898.104,644.2618,1180.21,36021,106845,11866,27088
Hand,_3D,False,9,115.48,Right,Down,-427.4635,79.4052,1166.699,7.049423,2791.037,368.85,118.54,145.24,-7,0,509.5278,465.965,1503.546,24666,96191,17699,29327
Hand,_3D,False,10,126.7,Straight,Down,-261.4941,41.2026,1305.964,34.99854,3053.921,376.6901,219.71,205.63,0,0,179.2406,517.7086,2607.361,16823,111510,0,47807
Hand,_3D,False,11,138.66,Left,Down,-261.494,3.000004,1522.621,71.25394,3276.803,333.8,222.31,155.7,0,0,170.1474,177.8774,2248.777,25105,106817,0,11220
Hand,_3D,False,12,189.92,Right,Same,-92.96425,3.000004,1664.034,71.13701,3450.132,321.7301,353.63,228.61,-29,13,4462.517,8063.015,9096.862,0,105303,0,13415
Hand,_3D,True,13,195.9,Straight,Up,73.00522,41.20261,1803.299,0,3559.764,130.37,122.68,92.05,-2,0,50.68915,46.65816,1828.465,258,50228,0,12339
Hand,_3D,True,14,209.22,Right,Down,286.3714,3.000011,1765.677,0,3798.615,613.2901,246.7599,319.1501,-23,2,536.9744,585.4276,3334.894,0,88069,0,9016
Hand,_3D,True,15,222.28,Left,Same,454.9012,3.000011,1907.09,0,4025.625,528.15,301.76,243.92,0,0,1591.005,895.2571,4046.683,7281,90828,0,15687
