method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Hand,_2D,True,0,0,Straight,Same,0,3,30,0,23.50324,38.08,17.51003,29.23003,0,0,31.84378,384.9435,375.4401,88824,124305,73909,112405
Hand,_2D,True,1,27.87999,Right,Same,168.5298,3,171.4133,0,252.0646,402.0901,139.1501,204.8901,0,0,514.1669,2286.066,2597.527,258524,400436,264649,389098
Hand,_2D,True,2,55.01999,Left,Same,168.5298,3,391.4133,0,496.441,889.26,219.65,420.23,0,0,1610.981,536.3541,1891.787,256212,414684,240876,356750
Hand,_2D,True,3,80.51999,Right,Same,337.0595,3,532.8265,0,741.8262,880.21,243.97,288.7,0,0,538.3535,1619.771,3328.699,261903,397495,289845,352181
Hand,_2D,True,4,98.27998,Straight,Same,505.5893,3,674.2398,0,963.6072,586.77,215.9001,222.26,0,0,143.1682,797.3248,1148.36,175471,282262,253259,232962
Hand,_2D,True,5,116.46,Left,Same,505.5893,3,894.2398,0,1195.477,437.83,185.81,170.1,0,0,174.3395,797.274,2930.251,174664,289813,270589,209378
Hand,_2D,True,6,134.96,Left,Same,337.0596,3,1035.653,0,1422.161,622.6401,243.91,204.8299,0,0,158.7459,109.1184,1148.853,200277,293899,290596,235200
Hand,_2D,True,7,154.22,Straight,Same,168.5298,3,1177.066,0,1645.958,781.2701,237.62,228.31,0,0,167.9227,822.1215,1158.931,206681,311336,303560,260165
Hand,_2D,True,8,171.96,Left,Same,-48.12793,3,1138.864,0,1878.035,488.88,234.31,143.4499,0,0,169.1068,466.1136,1508.324,182043,278634,269330,213426
Hand,_2D,True,9,190.84,Right,Same,-216.6577,3,1280.277,0,2130.5,490.96,192.73,183.96,0,0,527.1865,2661.313,2947.034,205414,295421,285296,251444
Hand,_2D,True,10,210.58,Right,Same,-216.6577,3,1500.277,0,2366.444,946.0901,210.63,209.18,0,0,174.1276,479.1243,1882,237334,335286,299695,281392
Hand,_2D,True,11,225.6,Straight,Same,-216.6577,3,1720.277,0,2587.17,361.3099,171.22,158.63,0,0,151.0198,437.9686,49.04196,173286,257272,218190,210480
Hand,_2D,True,12,245.98,Right,Same,-48.12793,3,1861.69,0,2821.33,523.1901,173.04,222.24,0,0,535.3868,1914.668,800.1312,244776,345993,322065,285177
Hand,_2D,True,13,263.86,Left,Same,-48.12793,3,2081.69,0,3061.822,525.0299,226.55,130.19,0,0,520.3521,880.4323,1886.933,206084,302149,297257,261355
Hand,_2D,False,14,295.8,Left,Same,-216.6577,3,2223.104,6.123082,3456.165,609,349.8799,332.9199,0,0,622.4248,1283.102,1911.97,339270,538466,502966,450917
Hand,_2D,True,15,301.02,Left,Same,-433.3154,3,2184.901,0,3515.525,57.95999,115.55,51.73,0,0,37.1962,734.4345,14.03104,62417,93079,87313,76853
