method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Head,_3D,True,0,0,Straight,Same,0,3,30,0,25.94694,106.72,29.00999,32.71997,0,0,437.1659,1111.778,385.1029,4524,77268,67553,60503
Head,_3D,True,1,20.75999,Right,Same,168.5298,3,171.4133,0,260.5298,232.98,112.84,123.23,0,0,2022.322,2680.408,2249.245,22529,231185,184723,203430
Head,_3D,True,2,38.89999,Left,Up,168.5298,41.2026,388.071,0,520.3231,215.11,140.2999,169.07,0,0,1713.547,1667.151,1887.864,13276,182702,76580,205012
Head,_3D,True,3,54.72,Straight,Same,168.5298,41.2026,608.071,0,760.4782,198.85,139.26,115.55,0,0,1015.868,1593.35,2602.432,1205,169700,77477,180080
Head,_3D,True,4,74.72,Left,Up,2.560349,79.4052,747.3359,0,1002.526,389.11,140.27,170.16,0,0,2204.33,3284.016,3028.032,143,226726,84643,217873
Head,_3D,True,5,90.5,Left,Up,-210.8058,117.6078,709.7137,0,1248.16,231.2,157.28,120.96,0,0,1396.379,1929.342,2238.706,2447,170695,108270,214589
Head,_3D,True,6,104.68,Straight,Same,-427.4636,117.6078,671.5111,0,1480.789,182.62,128.94,127.4101,0,0,2119.517,3312.998,3305.783,262,148527,84839,167153
Head,_3D,True,7,118.74,Right,Down,-593.433,79.4052,810.776,0,1726.036,191.28,142.34,118.4,0,0,1333.638,891.102,1879.638,8625,154496,106028,186060
Head,_3D,True,8,135.16,Right,Up,-593.433,117.6078,1027.434,0,1969.984,217.99,147,137.99,0,0,1326.357,1261.605,3688.075,2839,194709,117735,211706
Head,_3D,True,9,157.86,Right,Down,-427.4635,79.4052,1166.699,0,2236.991,352.59,183.65,246.75,0,0,2443.519,2241.787,4074.75,519,296134,136912,303255
Head,_3D,True,10,174.88,Straight,Down,-261.4941,41.2026,1305.964,0,2471.575,220.94,128.38,156.63,0,0,1999.728,2387.578,4392.701,215,217030,109177,214026
Head,_3D,True,11,190.98,Left,Down,-261.494,3.000004,1522.621,0,2733.194,222.35,120.19,166.23,0,0,1653.966,2422.563,2241.177,452,187493,83826,194298
Head,_3D,True,12,207.36,Right,Same,-92.96425,3.000004,1664.034,0,2986.519,298.4,127.29,176.27,0,0,2042.546,1655.622,3684.835,1292,172406,69724,192119
Head,_3D,True,13,221.96,Straight,Up,73.00522,41.20261,1803.299,0,3215.338,222.4499,125.75,169.28,0,0,1288.999,1180.093,1866.246,956,195162,30266,205888
Head,_3D,True,14,237.32,Right,Down,286.3714,3.000011,1765.677,0,3447.509,223.94,117.9801,119.13,0,0,3075.831,1229.811,1529.643,4589,208168,36345,205529
Head,_3D,True,15,259.34,Left,Same,454.9012,3.000011,1907.09,0,3728.625,281.27,146.2299,206.95,0,0,3436.151,3601.165,2623.246,977,286781,34719,261625
