method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Feet,_3D,True,0,0,Straight,Same,0,3,30,0,24.92068,92.34001,98.96001,105.96,0,0,67.39899,775.632,1472.363,0,0,0,0
Feet,_3D,True,1,17.67999,Straight,Same,0,3,250,0,246.2647,172.86,194.47,163.0401,0,0,1254.233,795.9169,3670.749,0,0,453,0
Feet,_3D,True,2,35.35999,Right,Same,168.5298,3,391.4133,0,475.7802,180.14,193.84,172.89,0,0,875.6436,473.7107,4755.725,9442,10878,53016,61089
Feet,_3D,False,3,100.42,Left,Up,168.5298,41.2026,608.071,7.603077,884.5362,524.2098,342.5302,488.2002,0,0,2367.759,2886.395,10335.18,380355,350316,299559,314228
Feet,_3D,True,4,123.56,Straight,Up,168.5298,79.4052,824.7287,0,1012.828,175.03,166.74,178.91,0,0,882.0334,1558.035,1523.963,51522,82151,41940,89202
Feet,_3D,True,5,173.34,Straight,Down,168.5298,41.2026,1041.386,0,1255.589,291.88,247.93,253.53,0,0,3930.355,2026.651,5167.517,235527,99882,122566,100998
Feet,_3D,True,6,204.46,Straight,Up,168.5298,79.4052,1258.044,0,1492.485,282.6899,279.4199,236.8301,0,0,2435.964,3758.89,6585.263,19802,61345,26699,97888
Feet,_3D,True,7,239.24,Right,Down,334.4992,41.20259,1397.309,0,1746.988,277.9,263.4901,279.98,0,0,3489.405,950.9017,6248.801,158147,12996,141118,126641
Feet,_3D,False,8,294.94,Left,Up,334.4992,79.4052,1613.967,6.811333,2194.402,490.8999,441.67,443.3902,0,0,4394.269,2294.051,9591.119,299528,244217,142086,178305
Feet,_3D,True,9,303.8,Left,Down,168.5298,41.20259,1753.232,0,2279.92,131.93,150.24,139.45,0,0,86.65112,47.52267,1828.027,21185,36613,0,15505
Feet,_3D,False,10,354.16,Right,Up,168.5297,79.40519,1969.889,8.00631,2698.723,474.4098,441.2601,367.8401,0,0,3302.436,3919.815,10306.85,57891,86323,127296,284338
Feet,_3D,False,11,424.16,Right,Up,334.4991,117.6078,2109.154,7.811309,3274.621,776.9001,579.0995,625.34,0,0,5239.077,3892.918,13369.45,207628,333439,501135,607609
Feet,_3D,True,12,461.72,Left,Down,334.4991,79.40519,2325.812,0,3563.003,300.33,284.4901,317.4801,0,0,2400.914,1796.643,6965.582,177674,51991,163471,67406
Feet,_3D,True,13,486.36,Right,Down,500.4685,41.20259,2465.077,0,3808.385,318.8501,328.3201,300.5399,0,0,3469.798,797.9802,4789.482,54878,10083,98330,78754
Feet,_3D,False,14,543.08,Left,Down,500.4685,2.999996,2681.735,6.040315,4254.485,481.13,455.8,454.4901,0,0,3716.701,2873.649,9599.683,255077,254610,225872,150131
Feet,_3D,False,15,604.54,Left,Same,331.9387,2.999996,2823.148,7.203765,4582.358,663.9299,444.82,554.8301,0,0,2980.379,5326.235,9683.848,186267,354561,331058,453009
