method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Hand,_2D,True,0,0,Straight,Same,0,3,30,0,27.45205,216.13,91.79001,114.92,0,0,1132.051,1138.766,1112.09,0,0,2903,2670
Hand,_2D,False,1,27.5,Right,Same,168.5298,3,171.4133,4.486089,410.2426,1319.21,309.1002,628.78,0,0,7864.467,1509.402,3461.505,0,298,36537,4562
Hand,_2D,False,2,46.96002,Left,Same,168.5298,3,391.4133,6.781031,741.824,902.86,240.0799,459.83,0,0,4604.854,1329.422,2281.817,0,14,759,0
Hand,_2D,True,3,52.16,Right,Same,337.0595,3,532.8265,0,830.1111,403.27,99.92001,170.55,0,0,1147.969,439.1199,2556.216,0,0,0,0
Hand,_2D,True,4,67.04001,Straight,Same,505.5893,3,674.2398,0,1090.356,1019.39,241.9801,404.78,0,0,2383.294,1430.603,2665.31,0,0,0,0
Hand,_2D,True,5,81.06,Left,Same,505.5893,3,894.2398,0,1343.035,782.76,270.0701,418.2501,0,0,3464.157,988.0587,3025.014,0,0,0,0
Hand,_2D,True,6,95.26001,Left,Same,337.0596,3,1035.653,0,1613.307,814.41,262.5799,328.9901,0,0,2779.584,1348.402,3029.602,0,48,0,0
Hand,_2D,True,7,105.98,Straight,Same,168.5298,3,1177.066,0,1836.639,774.2501,151.12,291.95,0,0,2380.452,1286.383,2260.119,0,24,0,0
Hand,_2D,True,8,119.3,Left,Same,-48.12793,3,1138.864,0,2118.043,761.1799,218.1701,307.22,0,0,3469.825,960.9352,3385.726,0,0,0,0
Hand,_2D,True,9,131.32,Right,Same,-216.6577,3,1280.277,0,2357.005,634.8,155.07,210.12,0,0,2391.517,510.5679,3715.265,0,0,0,0
Hand,_2D,True,10,145.96,Right,Same,-216.6577,3,1500.277,0,2616.166,767.49,249.42,329.4001,0,0,2733.292,898.5463,3722.57,0,0,0,0
Hand,_2D,True,11,160.46,Straight,Same,-216.6577,3,1720.277,0,2872.898,904.64,200.0699,392.8099,0,0,2786.048,587.509,3365.351,0,47,924,0
Hand,_2D,False,12,182.62,Right,Same,-48.12793,3,1861.69,5.052162,3256.666,1141.83,293.45,363.3799,0,0,4653.751,2015.263,4892.74,0,32389,3320,0
Hand,_2D,False,13,200.24,Left,Same,-48.12793,3,2081.69,6.76697,3582.735,913.4701,248.9099,386.64,0,0,2881.128,1031.783,2692.121,0,0,14933,0
Hand,_2D,True,14,204.5,Left,Same,-216.6577,3,2223.104,0,3664.95,230.44,83.00998,126.3299,0,0,789.4724,75.74583,392.56,0,0,3362,0
Hand,_2D,True,15,216.72,Left,Same,-433.3154,3,2184.901,0,3901.37,537.7301,191.39,244.93,0,0,2379.036,2686.08,2630.653,0,0,86308,0
