method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Hand,_2D,True,0,0,Straight,Same,0,3,30,0,25.83473,54.74002,28.73001,25.32001,0,0,78.30125,421.1485,30.77887,10207,85961,37285,51093
Hand,_2D,True,1,13.14,Right,Same,168.5298,3,171.4133,0,278.2015,508.3701,131.48,134.95,0,0,112.3386,2434.554,3691.448,6267,150830,111042,169133
Hand,_2D,True,2,22.96001,Straight,Same,337.0596,3,312.8265,0,503.3875,351.6501,99.51999,133,0,0,449.8121,466.5,419.1984,2958,106065,95376,118737
Hand,_2D,True,3,34.42,Left,Same,337.0596,3,532.8265,0,766.5129,436.59,160.04,195.21,0,0,112.9559,559.3348,2244.681,43084,112911,114467,152944
Hand,_2D,True,4,44,Straight,Same,337.0596,3,752.8265,0,985.9756,255.09,108.67,122.36,0,0,74.57114,461.8665,783.4055,31420,93456,57098,109396
Hand,_2D,True,5,54.44,Left,Same,168.5298,3,894.2398,0,1245.983,481.17,127.4599,188.14,0,0,454.6373,888.3516,435.9193,20824,63234,25623,82302
Hand,_2D,False,6,76.28,Right,Same,168.5298,3,1114.24,6.622367,1650.632,600.8601,214.9199,363.8602,0,0,1633.427,1768.827,1964.891,29300,136982,97410,212065
Hand,_2D,True,7,81.34,Left,Same,3.051758E-05,3,1255.653,0,1726.435,208.33,51.63,97.84998,0,0,44.72525,33.81551,32.57751,16484,40413,46999,71378
Hand,_2D,True,8,90.23999,Straight,Same,-168.5298,3,1397.066,0,1949.896,239.54,115.54,103.66,0,0,79.89752,424.182,423.5886,1790,87013,0,26967
Hand,_2D,True,9,101.42,Right,Same,-168.5298,3,1617.066,0,2202.435,393.69,144.24,225.52,0,0,102.9098,479.8401,1162.062,7549,66912,14975,82823
Hand,_2D,True,10,109.84,Straight,Same,-168.5298,3,1837.066,0,2424.179,200.45,73.30002,107.43,0,0,801.4863,59.00655,410.0508,16637,73613,0,63954
Hand,_2D,True,11,120.74,Left,Same,-337.0595,3,1978.48,0,2674.073,553.5699,125.11,263.7899,0,0,822.1874,1208.889,1526.188,17969,67414,0,76516
Hand,_2D,False,12,140.06,Right,Same,-337.0595,3,2198.48,6.022311,3096.045,674.7098,209.23,352.7,0,0,148.1574,1431.641,2306.096,25906,140615,45435,141260
Hand,_2D,True,13,144.64,Left,Same,-505.5893,3,2339.893,0,3192.31,184.71,35.01999,70.10004,0,0,37.12347,412.1378,1462.679,124,18457,4515,45873
Hand,_2D,True,14,155.3,Right,Same,-505.5893,3,2559.893,0,3429.529,300.0699,92.84001,165.32,0,0,88.34363,446.197,1145.297,28810,82484,42909,128392
Hand,_2D,True,15,166.02,Left,Same,-674.1191,3,2701.306,0,3672.68,412.2,119.05,184.25,0,0,98.43121,1202.818,101.8761,0,25076,20317,136405
