method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Head,_2D,True,0,0,Straight,Same,0,3,30,0,23.08072,370.7401,319.7601,225.3301,0,0,3067.505,1889.086,3740.469,64118,232011,0,90807
Head,_2D,True,1,13.86,Straight,Same,0,3,250,0,245.3282,251.31,260.98,155.28,0,0,1914.529,1648.986,2950.856,16993,135267,27918,95475
Head,_2D,True,2,25.44,Right,Same,168.5298,3,391.4133,0,473.3056,265.6,220.99,119.45,0,0,1531.797,1298.393,1879.268,9649,99537,3358,82440
Head,_2D,True,3,37.02,Left,Same,168.5298,3,611.4133,0,719.5551,220.2699,227.05,141.4899,0,0,1178.485,1374.688,2598.814,39761,106224,0,79758
Head,_2D,True,4,47.36,Straight,Same,168.5298,3,831.4133,0,939.1651,202.18,202.61,114.25,0,0,1553.68,2271.744,2212.678,18892,97840,4951,85220
Head,_2D,True,5,57.25999,Right,Same,337.0595,3,972.8265,0,1167.46,228.64,194.7901,129.22,0,0,1195.953,551.6624,1871.402,18565,90692,9257,67738
Head,_2D,True,6,68.2,Left,Same,337.0595,3,1192.827,0,1404.901,202.1,178.88,131.38,0,0,469.7047,1278.427,2589.575,23152,110074,0,82049
Head,_2D,True,7,78.34,Straight,Same,337.0595,3,1412.827,0,1626.192,223.4,186.09,125.25,0,0,853.1203,1587.316,2232.587,23526,87806,0,53310
Head,_2D,True,8,88.7,Right,Same,505.5893,3,1554.24,0,1855.356,178.43,170.34,140.76,0,0,1187.443,1598.032,1506.406,28424,100666,0,44540
Head,_2D,True,9,100.2,Left,Same,505.5893,3,1774.24,0,2093.049,246.33,219.75,113.64,0,0,1208.211,1665.501,2593.408,8863,106236,0,66880
Head,_2D,True,10,110.58,Straight,Same,505.5893,3,1994.24,0,2315.877,172.87,202.92,111.39,0,0,1571.569,1927.37,2225.075,22301,96219,0,72646
Head,_2D,True,11,121.04,Right,Same,674.1191,3,2135.653,0,2547.833,230.7999,207.64,108.46,0,0,1561.802,880.6806,1517.625,22491,102492,0,66738
Head,_2D,True,12,132.58,Left,Same,674.1191,3,2355.653,0,2792.3,285.0099,209.84,159.16,0,0,1210.117,2764.49,1518.493,5905,106961,0,86530
Head,_2D,True,13,143.2,Left,Same,505.5893,3,2497.066,0,3033.669,199.95,195.95,95.31999,0,0,1180.973,1714.588,2588.015,5149,94861,0,82366
Head,_2D,True,14,153.86,Left,Same,288.9316,3,2458.864,0,3272.177,261.3999,195.22,104.49,0,0,855.6878,934.6077,1148.918,22188,100084,10804,85176
Head,_2D,True,15,165.54,Right,Same,120.4018,3,2600.277,0,3521.452,219.23,202.02,113.8,0,0,1178.058,1659.039,1871.451,16562,111058,34005,88013
