method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Feet,_3D,True,0,0,Straight,Same,0,3,30,0,24.1004,28.59003,90.86,29.75,0,0,70.29486,1122.23,742.9861,0,45,0,0
Feet,_3D,True,1,8.899994,Straight,Same,0,3,250,0,243.249,100.62,185.84,87.24001,0,0,1206.071,1165.307,404.4017,11011,16,5297,432
Feet,_3D,True,2,21.39999,Right,Same,168.5298,3,391.4133,0,534.4302,123.6,210.17,118.0199,0,0,134.9193,1233.236,1154.492,16255,5784,109595,41603
Feet,_3D,True,3,63.92,Left,Up,168.5298,41.2026,608.071,0,1298.359,625.08,942.65,561.72,0,0,3022.104,1857.964,7958.765,554538,363602,136276,48219
Feet,_3D,False,4,80.87999,Straight,Up,168.5298,79.4052,824.7287,7.126216,1677.12,213.3901,438.17,313.0001,0,0,2034.424,621.6131,1186.946,113539,107402,157499,142153
Feet,_3D,False,5,91.17998,Straight,Down,168.5298,41.2026,1041.386,23.42779,1906.602,146.79,254.55,176.1,0,0,1203.454,528.0906,2943.89,48920,49319,38928,82784
Feet,_3D,False,6,103.66,Straight,Up,168.5298,79.4052,1258.044,42.22252,2174.969,152.02,323.79,192.63,0,0,1568.455,919.7356,2957.156,55504,35307,66920,43508
Feet,_3D,False,7,111.28,Right,Down,334.4992,41.20259,1397.309,10.44884,2338.125,123.1,231.75,98.93997,0,0,2242.655,450.2245,779.3691,31316,42882,33578,45488
Feet,_3D,False,8,122.84,Left,Up,334.4992,79.4052,1613.967,107.366,2599.288,176.97,275.25,178,0,0,2315.653,424.2843,122.5283,123094,43662,0,44042
Feet,_3D,False,9,168.38,Left,Down,168.5298,41.20259,1753.232,7.504126,3669.532,714.4003,1029.79,763.1401,0,0,4978.183,2838.443,10509.09,471189,116302,0,111411
Feet,_3D,False,10,180.2,Right,Up,168.5297,79.40519,1969.889,9.191651,3895.927,228.58,261.63,253.96,0,0,245.3439,1928.056,3078.319,92074,3249,100837,88264
Feet,_3D,False,11,206.48,Right,Up,334.4991,117.6078,2109.154,11.85863,4389.972,384.33,503.9099,336.95,0,6,4319.257,1347.63,5657.016,196179,91232,62180,168773
Feet,_3D,False,12,226.1,Left,Down,334.4991,79.40519,2325.812,69.70952,4761.411,310.4302,323.3199,251.59,0,0,2854.352,2582.69,2021.64,131149,2557,109926,109298
Feet,_3D,True,13,236.94,Right,Down,500.4685,41.20259,2465.077,0,4917.016,164.6,208.46,125.31,0,0,112.7164,407.3711,769.2429,28136,40299,11716,31984
Feet,_3D,True,14,264.8,Left,Down,500.4685,2.999996,2681.735,0,5484.193,465.67,521.4102,446.04,0,0,444.0633,1865.621,5304.525,81820,46969,278987,194641
Feet,_3D,True,15,276.92,Left,Same,331.9387,2.999996,2823.148,0,5722.236,231.07,151.44,193.35,0,0,1259.979,1908.864,791.7415,37845,27997,28493,28845
