method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Hand,_3D,True,0,0,Straight,Same,0,3,30,0,21.91398,68.71002,82.85999,48.45001,0,1,1173.184,765.9114,38.10596,99338,42331,59953,30865
Hand,_3D,True,1,14.70001,Right,Same,168.5298,3,171.4133,0,249.9397,599.9301,142.1001,178.62,-7,1,1971.834,862.0397,460.0806,168138,95095,58194,38794
Hand,_3D,True,2,28.20001,Left,Up,168.5298,41.2026,388.071,0,498.6899,515.9099,196.84,185.37,0,19,1217.681,3036.979,452.0257,175940,108052,19009,47529
Hand,_3D,True,3,42.20001,Left,Up,2.560349,79.4052,527.3359,0,762.4253,588.51,206.28,223.6,-6,21,886.0501,2337.665,462.5435,176339,105712,3298,24326
Hand,_3D,True,4,52.70001,Left,Same,-214.0974,79.4052,489.1333,0,984.9055,311.67,238.76,138.51,-2,0,1573.081,1155.081,66.09863,128012,93544,8958,25026
Hand,_3D,True,5,62.89996,Right,Up,-380.0668,117.6078,628.3982,0,1225.102,640.7301,174,151.28,0,18,479.4306,841.5371,1155.112,114050,76921,7268,21257
Hand,_3D,True,6,75.43994,Right,Down,-380.0667,79.4052,845.0559,0,1455.966,540.6799,280.7799,211.83,-12,1,1974.016,846.3372,441.5424,161520,115436,8691,13377
Hand,_3D,True,7,86.88,Right,Up,-214.0973,117.6078,984.3208,0,1685.651,480.85,236.83,174.33,0,15,1256.43,829.4199,445.84,125176,89159,5180,11294
Hand,_3D,True,8,96.76001,Straight,Same,-45.5675,117.6078,1125.734,0,1919.272,471.0501,239.84,199.43,-3,0,1546.713,468.9555,60.87164,110626,69257,6820,13058
Hand,_3D,True,9,108.1799,Straight,Down,120.4019,79.4052,1264.999,0,2155.904,688.8099,269.9499,208.28,-15,3,1606.167,529.9006,441.3934,135158,92101,0,16679
Hand,_3D,True,10,120.42,Left,Same,120.402,79.4052,1484.999,0,2404.592,613.8101,356.2501,228.8599,-3,0,1957.74,144.2069,104.6372,139831,100346,1001,5939
Hand,_3D,False,11,149.12,Right,Down,286.3714,41.2026,1624.264,5.00289,2906.311,1607.611,569.9799,473.02,-14,0,5028.769,2193.616,2406.049,336602,209003,7984,90172
Hand,_3D,False,12,149.12,Left,Same,286.3715,41.2026,1844.264,101.5991,2906.311,0,0,0,0,0,0,0,0,0,0,0,0
Hand,_3D,True,13,167.5599,Right,Down,452.3409,2.999992,1983.529,0,3214.803,1049.63,511.19,338.3499,-26,0,2389.64,1365.941,127.4788,286588,171981,75,38893
Hand,_3D,True,14,178.12,Left,Up,452.3409,41.20259,2200.186,0,3447.772,562.97,413.97,206.02,-1,15,857.3595,462.4111,89.44162,126076,63858,16856,23878
Hand,_3D,False,15,198.9,Straight,Down,452.341,2.999992,2416.844,4.049898,3823.494,1211.7,603.9501,389.9401,-26,0,3203.689,2431.09,1306.131,199438,50080,59125,83630
