method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Feet,_2D,True,0,0,Straight,Same,0,3,30,0,28.70974,230.0601,105.9002,112.56,0,0,1267.749,2248.182,94.72604,197465,495885,416543,597384
Feet,_2D,False,1,20.39999,Right,Same,168.5298,3,171.4133,4.878141,401.7803,448.4099,216.3501,332.8401,0,0,4158.837,1042.984,1262.755,96432,302663,98042,263475
Feet,_2D,True,2,24.95999,Straight,Same,337.0596,3,312.8265,0,515.8091,176.09,88.38002,104.54,0,0,57.75523,417.2598,761.9569,0,66656,56031,70453
Feet,_2D,True,3,40.14001,Left,Same,337.0596,3,532.8265,0,957.647,351.7401,191.3299,186.31,0,0,6703.659,2004.01,571.375,211030,256306,13980,136153
Feet,_2D,False,4,66.89999,Straight,Same,337.0596,3,752.8265,6.841326,1690.077,549.7501,333.34,388.47,0,0,5728.581,2266.998,1805.68,102247,287385,159333,339838
Feet,_2D,True,5,115.48,Left,Same,168.5298,3,894.2398,0,2668.882,951.0797,458.05,720.3,0,0,12797.65,5031.375,4086.038,182242,623002,283116,559479
Feet,_2D,True,6,128,Right,Same,168.5298,3,1114.24,0,2898.872,429.33,97.07999,231.08,0,0,2329.984,681.9977,1578.512,39784,189586,27577,102698
Feet,_2D,True,7,137.96,Left,Same,3.051758E-05,3,1255.653,0,3128.612,362.95,92.33006,162.2201,0,0,3336.258,849.6357,1164.099,21253,126854,16421,86745
Feet,_2D,True,8,147.2,Straight,Same,-168.5298,3,1397.066,0,3356.105,288.08,113.61,134.21,0,0,3361.115,164.7733,92.35916,15555,112397,18636,97603
Feet,_2D,False,9,168.72,Right,Same,-168.5298,3,1617.066,5.757669,3909.694,580.9001,253.7899,423.9201,0,0,6471.327,1783.522,3190.329,15858,287519,86621,186426
Feet,_2D,False,10,176.12,Straight,Same,-168.5298,3,1837.066,226.6249,4152.962,284.42,135.51,102.73,0,0,3036.689,945.405,1256.359,4427,123567,0,23107
Feet,_2D,True,11,187.56,Left,Same,-337.0595,3,1978.48,0,4526.553,346.06,130.48,147.37,0,0,3390.389,1069.545,1555.871,0,125771,18465,64466
Feet,_2D,False,12,214.2,Right,Same,-337.0595,3,2198.48,6.819973,5196.064,598.2002,377.2003,401.9101,0,0,8144.442,3513.182,3657.518,0,330961,144645,268005
Feet,_2D,True,13,236.84,Left,Same,-505.5893,3,2339.893,0,5966.48,489.7601,340.9501,318.27,0,0,8870.183,2563.481,1555.701,0,365980,0,117063
Feet,_2D,True,14,279.9,Right,Same,-505.5893,3,2559.893,0,7264.705,840.1498,601.7997,675.2702,0,0,5834.173,4095.454,4661.778,0,613960,25302,170681
Feet,_2D,False,15,294,Left,Same,-674.1191,3,2701.306,5.483498,7626.758,438.75,214.79,222.4799,0,0,1297.802,1557.036,2351.967,0,106895,74950,133295
