method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Hand,_2D,True,0,0,Straight,Same,0,3,30,0,24.73447,102.41,167.2599,113.24,0,0,2654.047,1602.288,59.80048,39930,161644,58778,195663
Hand,_2D,True,1,5.560059,Straight,Same,0,3,250,0,245.1697,164.87,106.1,116.19,0,0,1903.833,2266.36,90.00549,36233,88132,40584,86430
Hand,_2D,True,2,13.06006,Right,Same,168.5298,3,391.4133,0,506.6172,331.79,122.01,207.62,0,0,2629.566,2475.052,1315.852,14166,99937,30115,115846
Hand,_2D,True,3,21.66003,Left,Same,168.5298,3,611.4133,0,754.0663,361.2,149.29,227.6701,0,0,4457.796,1451.273,1638.448,36032,128376,41135,138673
Hand,_2D,True,4,27.88,Straight,Same,168.5298,3,831.4133,0,975.7584,147.75,136.64,137.15,0,0,1579.906,894.6461,822.0533,40213,96784,49209,99155
Hand,_2D,True,5,33.71997,Right,Same,337.0595,3,972.8265,0,1199.638,170.09,93.75999,130.4801,0,0,1529.575,1368.265,1549.971,29428,80814,39537,89359
Hand,_2D,True,6,40.06006,Left,Same,337.0595,3,1192.827,0,1435.714,276.25,126.43,178.48,0,0,3019.748,1751.702,1232.997,31204,92509,34743,103244
Hand,_2D,True,7,45.70007,Straight,Same,337.0595,3,1412.827,0,1658.165,174.54,127.27,139.42,0,0,2976.387,880.6744,2591.182,24623,80865,37927,92034
Hand,_2D,True,8,51.88,Right,Same,505.5893,3,1554.24,0,1895.271,199.8301,129.67,161.1,0,0,1901.372,967.4067,1176.43,23597,92884,26275,100807
Hand,_2D,True,9,59.38,Left,Same,505.5893,3,1774.24,0,2137.693,237.93,157.71,162.31,0,0,2643.936,1340.765,1549.731,39436,111151,52376,122557
Hand,_2D,True,10,64.96008,Straight,Same,505.5893,3,1994.24,0,2358.8,167.7801,136.44,141.4,0,0,2272.157,1891.413,65.73705,29118,76642,36185,90042
Hand,_2D,True,11,71.40002,Right,Same,674.1191,3,2135.653,0,2605.374,211.34,142.63,165.45,0,0,790.5327,841.0377,4390.254,11088,93121,8318,103898
Hand,_2D,True,12,79.90002,Left,Same,674.1191,3,2355.653,0,2872.643,252.8499,170.23,206.69,0,0,1612.556,2120.888,1199.909,30477,133298,51520,138758
Hand,_2D,True,13,85.64001,Left,Same,505.5893,3,2497.066,0,3107.103,251.38,106.82,176.45,0,0,809.1838,890.8367,106.1334,13324,88916,23310,92000
Hand,_2D,True,14,92.52002,Left,Same,288.9316,3,2458.864,0,3329.123,294.92,152.11,252.07,0,0,1214.514,1989.839,843.0142,18549,104722,39862,108888
Hand,_2D,True,15,98.62,Right,Same,120.4018,3,2600.277,0,3569.942,199.5,126.71,203.41,0,0,472.9436,1002.501,1545.507,17008,93130,37229,96787
