method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Head,_3D,True,0,0,Straight,Same,0,3,30,0,22.69957,101.71,127.49,52.01001,0,0,417.9357,747.5494,731.4412,14305,39336,1303,28547
Head,_3D,True,1,19.06,Right,Same,168.5298,3,171.4133,0,261.3025,263.6001,304.7,177.53,0,0,2066.578,3424.736,1157.75,144321,236888,70013,136666
Head,_3D,True,2,33.78,Left,Up,168.5298,41.2026,388.071,0,503.6831,323.37,296.43,168.76,0,0,1319.685,2348.233,2953.435,132579,197341,73584,122290
Head,_3D,True,3,46.08,Straight,Same,168.5298,41.2026,608.071,0,724.569,210.5,251.28,160.4799,0,0,2740.426,2238.357,1487.124,119034,174049,85026,99827
Head,_3D,True,4,59.18001,Left,Up,2.560349,79.4052,747.3359,0,962.4547,270.5701,249.3701,187.8999,0,0,2066.539,1635.884,3661.102,141362,196692,81654,104105
Head,_3D,False,5,78.84,Left,Up,-210.8058,117.6078,709.7137,6.909545,1332.311,305.07,316.8199,232.44,0,0,2184.52,3522.86,2989.135,208723,291610,102232,125249
Head,_3D,True,6,85.16,Straight,Same,-427.4636,117.6078,671.5111,0,1452.978,141.4,169.94,94.67999,0,0,491.4029,760.6207,745.0562,76612,93054,22891,34499
Head,_3D,True,7,97.98001,Right,Down,-593.433,79.4052,810.776,0,1691.547,247.75,225.12,203.31,0,0,2050.374,1221.134,1510.292,141500,189744,84463,96963
Head,_3D,True,8,110.12,Right,Up,-593.433,117.6078,1027.434,0,1933.432,264.88,215.44,135.26,0,0,946.3138,1331.776,3672.859,145878,191887,61036,101243
Head,_3D,True,9,122.94,Right,Down,-427.4635,79.4052,1166.699,0,2170.602,261.9,216.75,160.37,0,0,2013.863,2315.845,1173.727,133394,183360,46077,95394
Head,_3D,True,10,135.96,Straight,Down,-261.4941,41.2026,1305.964,0,2394.253,329.92,247.93,210.18,0,0,1981.693,1601.098,1168.302,154725,207901,60176,105015
Head,_3D,True,11,151.8,Left,Down,-261.494,3.000004,1522.621,0,2672.868,260.7,238.58,189.81,0,0,1996.146,2517.75,458.0304,196624,249317,110052,120862
Head,_3D,True,12,165.22,Right,Same,-92.96425,3.000004,1664.034,0,2918.916,306.29,224.0901,173.66,0,0,1621.914,1302.735,2239.23,192615,217710,47428,103319
Head,_3D,True,13,177.24,Straight,Up,73.00522,41.20261,1803.299,0,3156.112,258.61,230.24,140.87,0,0,1977.504,2117.928,1894.915,115847,163565,48308,91648
Head,_3D,True,14,190.58,Right,Down,286.3714,3.000011,1765.677,0,3407.224,324.25,234.39,189.62,0,0,1310.701,1661.781,793.9827,150036,182521,89398,109847
Head,_3D,True,15,203.7,Left,Same,454.9012,3.000011,1907.09,0,3656.158,345.15,216.11,162.51,0,0,1330.507,2728.761,798.7673,158282,148213,101521,109384
