method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Feet,_3D,True,0,0,Straight,Same,0,3,30,0,23.32239,41.60994,73.48001,47.13002,0,0,433.4854,1132.357,28.41035,0,42,0,0
Feet,_3D,True,1,17.12,Straight,Same,0,3,250,0,246.0162,149.43,245.83,127.84,0,0,1650.055,3311.01,82.56567,0,99,0,0
Feet,_3D,True,2,36.40002,Right,Same,168.5298,3,391.4133,0,482.9178,219.73,249.72,175.3101,0,0,2394.993,594.2456,1202.692,5015,4623,42958,24795
Feet,_3D,False,3,69.5,Left,Up,168.5298,41.2026,608.071,6.651961,871.5447,380.0901,417.3799,318.2201,0,0,373.5667,719.8274,1983.426,195864,175151,131022,137827
Feet,_3D,False,4,83.28003,Straight,Up,168.5298,79.4052,824.7287,9.34103,1129.062,276.84,229.93,230.82,0,0,553.7448,458.9191,78.28006,74589,118821,58063,108781
Feet,_3D,True,5,94.96002,Straight,Down,168.5298,41.2026,1041.386,0,1249.772,170.5001,138.38,156.48,0,0,1186.474,60.70892,40.94585,45470,73254,20510,39254
Feet,_3D,False,6,133.04,Straight,Up,168.5298,79.4052,1258.044,7.644531,1625.587,527.7002,331.7202,379.17,0,0,2196.441,2094.184,884.3122,92989,354140,370197,168259
Feet,_3D,True,7,136.76,Right,Down,334.4992,41.20259,1397.309,0,1684.125,113.81,65.68001,120.69,0,0,387.3803,391.4853,25.5264,5261,8837,6315,1141
Feet,_3D,False,8,186.8,Left,Up,334.4992,79.4052,1613.967,7.348021,2174.539,565.65,508.36,480.1298,0,0,1883.941,1581.032,4208.275,316786,477123,353378,225850
Feet,_3D,True,9,190.78,Left,Down,168.5298,41.20259,1753.232,0,2219.15,89.42001,83.09001,71.30002,0,0,51.26675,30.42847,1462.414,0,0,13624,0
Feet,_3D,True,10,220.04,Right,Up,168.5297,79.40519,1969.889,0,2472.821,396.7898,241.2101,294.3499,0,0,229.9108,995.6298,1571.921,97040,264995,273255,192064
Feet,_3D,False,11,252.84,Right,Up,334.4991,117.6078,2109.154,7.343463,2858.251,505.3899,389.6501,396.6501,0,0,1411.536,811.7592,1286.317,184822,422006,296102,218848
Feet,_3D,True,12,265.4,Left,Down,334.4991,79.40519,2325.812,0,3016.602,209.2599,183.14,152.39,0,0,1929.342,423.0479,52.46039,57892,46562,58096,19635
Feet,_3D,True,13,289.56,Right,Down,500.4685,41.20259,2465.077,0,3321.711,405.8301,333.04,342.5699,0,0,6039.137,1516.949,2700.133,56190,33573,151175,18346
Feet,_3D,True,14,310.34,Left,Down,500.4685,2.999996,2681.735,0,3593.571,324.0501,249.11,256.9099,0,0,2051.54,582.281,1573.075,189045,101352,100741,0
Feet,_3D,True,15,328.3,Left,Same,331.9387,2.999996,2823.148,0,3819.652,245.27,223.2599,203.73,0,0,2748.979,2627.833,1520.189,72415,76025,89307,38763
