method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Feet,_2D,True,0,0,Straight,Same,0,3,30,0,23.14949,197.78,60.2,85.03998,0,0,53.85168,1466.576,25.87698,0,2473,0,21497
Feet,_2D,True,1,12.24,Right,Same,168.5298,3,171.4133,0,260.4261,437.7401,158.78,197.6,0,0,111.3058,91.88326,72.30383,0,15137,6621,81299
Feet,_2D,True,2,21.49999,Straight,Same,337.0596,3,312.8265,0,489.2068,247.3499,171.15,190.54,0,0,458.0449,445.9831,1485.399,23171,43694,1991,28626
Feet,_2D,True,3,32.04,Left,Same,337.0596,3,532.8265,0,731.0275,358.0301,176.39,266.09,0,0,470.9135,475.3793,1507.885,41759,57196,2073,59458
Feet,_2D,True,4,41.83999,Straight,Same,337.0596,3,752.8265,0,950.3965,304.1301,142.53,297.5,0,0,101.4932,796.8551,2572.303,26437,47044,7360,39848
Feet,_2D,True,5,51.19999,Left,Same,168.5298,3,894.2398,0,1183.104,265.06,170.97,210.81,0,0,106.0754,450.3386,419.4183,20930,41040,935,43243
Feet,_2D,True,6,61.63999,Right,Same,168.5298,3,1114.24,0,1438.569,283.88,160.85,289.34,0,0,116.3002,99.24037,72.25357,0,15917,7942,103654
Feet,_2D,True,7,77.33999,Left,Same,3.051758E-05,3,1255.653,0,1812.129,388.56,229.39,367.73,0,0,163.1843,916.7502,4411.762,100456,120670,27273,69200
Feet,_2D,True,8,84.8,Straight,Same,-168.5298,3,1397.066,0,2031.6,182.6299,150.94,162.74,0,0,457.6008,76.44762,52.68268,0,7830,0,10172
Feet,_2D,True,9,94.3,Right,Same,-168.5298,3,1617.066,0,2288.796,271.28,128.51,296.98,0,0,100.4393,456.9279,425.5381,13045,27973,32739,72455
Feet,_2D,True,10,104.1,Straight,Same,-168.5298,3,1837.066,0,2526.588,248.78,136.87,211.19,0,0,843.145,466.728,2931.037,54531,65418,4720,27735
Feet,_2D,True,11,114.38,Left,Same,-337.0595,3,1978.48,0,2759.979,286.13,122.82,269.65,0,0,479.2189,816.1921,1144.255,9153,32100,5363,40071
Feet,_2D,False,12,130.82,Right,Same,-337.0595,3,2198.48,4.811283,3137.894,345.7201,235.64,478.55,0,0,1267.62,255.0515,4083.135,43926,84588,5058,126896
Feet,_2D,True,13,141.1,Left,Same,-505.5893,3,2339.893,0,3410.216,322.8701,155.96,309.2,0,0,458.6249,906.0226,3307.695,35376,126050,40261,62804
Feet,_2D,True,14,154.22,Right,Same,-505.5893,3,2559.893,0,3737.059,405.8401,230.22,378.7502,0,0,144.2954,198.6943,1893.125,18291,139336,90664,132949
Feet,_2D,False,15,172.64,Left,Same,-674.1191,3,2701.306,5.471153,4167.799,508,325.0101,458.51,0,0,906.0703,1452.453,1203.304,31346,226908,85516,146205
