method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Feet,_3D,True,0,0,Straight,Same,0,3,30,0,22.88313,63.15002,75.62004,26.04001,0,0,47.32402,752.3337,1098.333,0,7831,387,16663
Feet,_3D,True,1,14.43999,Straight,Same,0,3,250,0,243.196,171.82,223.2101,112.66,0,0,174.1171,75.39719,2207.481,0,219,1179,19316
Feet,_3D,False,2,41.95999,Right,Same,168.5298,3,391.4133,7.080136,682.1758,411.4201,333.42,460.0699,0,0,2512.423,545.8715,4939.095,91764,39910,150689,28027
Feet,_3D,False,3,76.45999,Left,Up,168.5298,41.2026,608.071,111.987,1085.965,312.5401,319.3201,415.21,0,0,5934.406,1477.86,6477.944,282229,128652,132843,72948
Feet,_3D,False,4,94.60001,Straight,Up,168.5298,79.4052,824.7287,32.16358,1363.198,226.29,221.61,250.93,0,0,947.3431,615.5186,2272.385,66289,50086,59195,100543
Feet,_3D,True,5,101.26,Straight,Down,168.5298,41.2026,1041.386,0,1477.529,77.06999,148.05,41.94002,0,0,136.1891,32.54286,22.82381,49544,15747,42263,25622
Feet,_3D,True,6,114.98,Straight,Up,168.5298,79.4052,1258.044,0,1706.402,175.55,170.27,121.56,0,0,2416.113,454.4515,776.0599,23412,93833,31182,84130
Feet,_3D,False,7,142.08,Right,Down,334.4992,41.20259,1397.309,7.418209,2097.323,322.98,270.6001,371.9101,0,0,2136.797,1489.786,4133.82,37922,97948,158626,91899
Feet,_3D,True,8,188.68,Left,Up,334.4992,79.4052,1613.967,0,2816.568,551.46,436.4402,527.6799,0,0,7143.606,3330.688,5356.862,275301,279062,120964,120758
Feet,_3D,True,9,204.32,Left,Down,168.5298,41.20259,1753.232,0,3042.131,179.66,145.39,138.6,0,0,288.3943,1208.803,1856.095,68870,9176,111092,31806
Feet,_3D,True,10,222.06,Right,Up,168.5297,79.40519,1969.889,0,3287.56,232.03,186.61,203.7799,0,0,2837.722,504.3649,3686.631,7686,72430,25791,138508
Feet,_3D,True,11,236.78,Right,Up,334.4991,117.6078,2109.154,0,3516.368,178.7,182.27,172.67,0,0,2030.004,2267.984,781.7692,11159,56617,7078,66517
Feet,_3D,False,12,303.34,Left,Down,334.4991,79.40519,2325.812,4.156378,4419.628,758.56,579.3098,820.7901,0,0,703.8751,2279.942,9173.438,501691,259751,116825,124432
Feet,_3D,False,13,369.96,Right,Down,500.4685,41.20259,2465.077,10.15731,5211.898,746.9102,509.6201,724.3799,0,0,1070.843,1925.604,7596.521,583483,254130,155047,41721
Feet,_3D,True,14,379.16,Left,Down,500.4685,2.999996,2681.735,0,5358.049,148.8001,129.3,139.82,0,0,167.8444,420.7545,1475.823,47446,17105,57703,2439
Feet,_3D,True,15,416.82,Left,Same,331.9387,2.999996,2823.148,0,6009.021,488.4899,392.7301,479.67,0,0,2475.911,2233.238,2087.856,249569,278507,32477,35947
