method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Head,_2D,True,0,0,Straight,Same,0,3,30,0,23.39835,46.98,84.41,20.53998,0,0,426.0406,1144.705,26.9722,9923,107750,31497,69231
Head,_2D,False,1,13.58,Right,Same,168.5298,3,171.4133,6.64219,438.623,176.14,280.23,167.82,0,0,168.1233,1588.589,1566.869,37847,130737,100922,134684
Head,_2D,True,2,19.16,Left,Same,168.5298,3,391.4133,0,622.8116,57.09998,142.43,55.81,0,0,90.85471,862.2687,400.1492,11045,55740,31640,52933
Head,_2D,False,3,36.90001,Right,Same,337.0595,3,532.8265,3.408275,1126.001,250.2,325.3799,211.63,0,0,256.0929,2677.519,3775.868,40289,174164,139081,183828
Head,_2D,True,4,40.08,Straight,Same,505.5893,3,674.2398,0,1239.737,42.56001,75.37003,28.90001,0,0,59.2822,422.9326,379.4759,1942,26314,15983,28038
Head,_2D,True,5,47.92,Left,Same,505.5893,3,894.2398,0,1486.988,87.93999,158.7,68.39999,0,0,110.2146,918.9371,433.5316,7086,81819,63898,83707
Head,_2D,True,6,54.18001,Left,Same,337.0596,3,1035.653,0,1717.567,69.32004,138.9,58.13997,0,0,112.5435,904.5416,49.32065,7504,53144,35867,60736
Head,_2D,True,7,61.22,Straight,Same,168.5298,3,1177.066,0,1947.825,87.44998,170.81,72.05002,0,0,105.4651,914.692,782.5306,20192,73299,55978,78089
Head,_2D,True,8,69.60001,Left,Same,-48.12793,3,1138.864,0,2241.196,120.91,153.1601,109.52,0,0,122.8416,1480.664,1554.867,15422,75109,67608,86438
Head,_2D,True,9,78.42,Right,Same,-216.6577,3,1280.277,0,2546.858,147.85,162.65,99.59001,0,0,141.0885,1004.079,2265.675,12463,76079,70782,82884
Head,_2D,True,10,84.38,Right,Same,-216.6577,3,1500.277,0,2771.54,100.96,118.7,53.63002,0,0,108.5585,1610.501,1497.565,4990,60013,48619,63640
Head,_2D,True,11,90.48001,Straight,Same,-216.6577,3,1720.277,0,2994.631,98.12,141.29,67.77997,0,0,118.1754,846.6666,765.3784,7180,65157,61056,72759
Head,_2D,True,12,97.45999,Right,Same,-48.12793,3,1861.69,0,3252.286,113.98,128.3,76.37003,0,0,107.1901,871.5558,1133.584,6449,63774,51892,72201
Head,_2D,True,13,105.7,Left,Same,-48.12793,3,2081.69,0,3539.723,106.7,142.86,65.92998,0,0,138.514,985.6313,843.1768,18951,81782,73683,97867
Head,_2D,True,14,110.72,Left,Same,-216.6577,3,2223.104,0,3764.366,93.76001,112.55,52.42003,0,0,77.60703,524.7236,1845.526,7318,41909,35695,51265
Head,_2D,True,15,116.72,Left,Same,-433.3154,3,2184.901,0,3995.275,93.62,144.38,47.75998,0,0,108.4435,1291.76,1873.96,8684,60307,50241,67972
