method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Feet,_3D,True,0,0,Straight,Same,0,3,30,0,24.10127,46.66,40.67999,121.86,0,0,30.60928,21.70055,11.5033,0,0,2263,0
Feet,_3D,True,1,14.26001,Right,Same,168.5298,3,171.4133,0,282.6312,343.8,159.24,253.52,0,0,160.107,1193.028,4052.075,1691,9948,88457,10313
Feet,_3D,False,2,45.26001,Left,Up,168.5298,41.2026,388.071,5.384136,906.4784,666.9,356.91,573.0699,0,0,1490.739,1569.505,6764.181,102947,158075,198869,85063
Feet,_3D,True,3,53.67999,Straight,Same,168.5298,41.2026,608.071,0,1115.38,169.71,106.52,167.18,0,0,811.7356,46.13684,399.2826,31158,33715,28375,28019
Feet,_3D,False,4,88.57999,Left,Up,2.560349,79.4052,747.3359,7.787958,1767.08,1172.79,331.17,666.7698,0,0,822.3988,2257.026,8270.662,129955,274636,47329,80454
Feet,_3D,True,5,92.35999,Left,Up,-210.8058,117.6078,709.7137,0,1856.938,128.2,41.62999,187.1,0,0,429.8968,388.2789,27.09026,0,14003,21495,15401
Feet,_3D,True,6,102.02,Straight,Same,-427.4636,117.6078,671.5111,0,2087.119,241.04,136.98,216.7901,0,0,486.3947,2587.268,58.66949,19685,52362,40743,27603
Feet,_3D,False,7,118.8,Right,Down,-593.433,79.4052,810.776,7.410851,2449.024,467.42,153.12,322.8099,0,0,2017.67,399.8019,2692.076,0,0,121646,47118
Feet,_3D,True,8,128,Right,Up,-593.433,117.6078,1027.434,0,2678.994,285.0501,145.89,233.63,0,0,1547.715,2943.97,2213.669,7631,14595,12624,8846
Feet,_3D,False,9,144.98,Right,Down,-427.4635,79.4052,1166.699,7.301831,3038.463,480.51,207.04,354.45,0,0,908.6401,918.0822,1571.849,76798,20845,69971,6445
Feet,_3D,False,10,161.64,Straight,Down,-261.4941,41.2026,1305.964,13.04939,3351.469,532.46,188.41,339.4199,0,0,215.3324,878.3959,4419.334,105194,33878,58252,12757
Feet,_3D,False,11,170.52,Left,Down,-261.494,3.000004,1522.621,18.39457,3543.574,264.61,143.6,234.66,0,0,1235.42,241.0657,2261.13,27805,0,82460,44176
Feet,_3D,True,12,179.12,Right,Same,-92.96425,3.000004,1664.034,0,3751.683,245.6199,141.19,226.51,0,0,518.7671,816.3792,2233.444,0,0,40824,17140
Feet,_3D,False,13,211.64,Straight,Up,73.00522,41.20261,1803.299,6.005737,4318.479,800.8696,370.4601,606.04,0,0,3328.027,2018.746,6561.212,7670,168444,116695,50342
Feet,_3D,True,14,228.96,Right,Down,286.3714,3.000011,1765.677,0,4705.29,519.53,226.16,348.9099,0,0,1611.345,1321.412,3352.347,82606,18096,135510,84387
Feet,_3D,True,15,251.4,Left,Same,454.9012,3.000011,1907.09,0,5166.479,659.5799,291.7299,492.4402,0,0,3508.68,1574.384,4167.73,162625,107060,24860,13614
