method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Feet,_2D,True,0,0,Straight,Same,0,3,30,0,21.6256,53.24998,53.64998,30.29001,0,0,30.17374,373.5728,13.2513,0,5078,0,0
Feet,_2D,False,1,18.08002,Right,Same,168.5298,3,171.4133,8.297649,389.3214,424.33,272.78,486.48,0,0,972.4725,704.9794,2306.075,51028,24272,66438,26793
Feet,_2D,True,2,30.88,Left,Same,168.5298,3,391.4133,0,674.963,313.64,206.19,226.04,0,0,912.0495,547.7454,437.3812,70866,100458,10287,0
Feet,_2D,True,3,57.82001,Right,Same,337.0595,3,532.8265,0,1283.769,416.8101,326.45,294.72,0,0,1050.904,3407.578,2703.288,9230,45064,166572,92798
Feet,_2D,True,4,68.04001,Straight,Same,505.5893,3,674.2398,0,1526.321,212.1,134.24,190.45,0,0,889.3196,471.7574,1143.262,25688,47323,5526,6951
Feet,_2D,True,5,77.36002,Left,Same,505.5893,3,894.2398,0,1750.777,190.2799,143.34,156.91,0,0,160.5695,1161.255,419.7354,17741,49159,7846,12459
Feet,_2D,True,6,86.19998,Left,Same,337.0596,3,1035.653,0,1977.904,344.55,138.08,115.19,0,0,137.1893,1150.467,773.0964,6360,27578,23529,6156
Feet,_2D,True,7,95.60001,Straight,Same,168.5298,3,1177.066,0,2201.703,187.05,107,85.08998,0,0,1261.427,429.0814,1851.961,3758,12564,38323,9383
Feet,_2D,True,8,112.52,Left,Same,-48.12793,3,1138.864,0,2549.319,364.18,202.06,172.13,0,0,1312.238,1750.497,2640.93,117917,91243,31288,17253
Feet,_2D,True,9,133.32,Right,Same,-216.6577,3,1280.277,0,2976.763,306.78,253,166.26,0,0,1332.709,1075.789,1945.556,0,11171,149306,39527
Feet,_2D,True,10,142.14,Right,Same,-216.6577,3,1500.277,0,3206.823,159.24,125.26,56.32004,0,0,1216.949,456.1521,2570.028,17016,27499,18634,11901
Feet,_2D,True,11,150.5,Straight,Same,-216.6577,3,1720.277,0,3429.492,195.38,109.18,112.48,0,0,477.0331,1155.553,760.5234,17541,28380,18370,13973
Feet,_2D,False,12,178.8,Right,Same,-48.12793,3,1861.69,5.494376,3949.265,438.4399,315.4901,377.61,0,0,2209.015,1350.032,4208.559,200103,134004,109806,57687
Feet,_2D,True,13,191.5,Left,Same,-48.12793,3,2081.69,0,4209.728,243.09,129.55,130.03,0,0,168.3923,1646.536,1520.154,30324,24870,57249,39613
Feet,_2D,True,14,201.56,Left,Same,-216.6577,3,2223.104,0,4432.71,245.46,117.93,130,0,0,127.8463,1874.608,57.35565,37280,49429,15059,21706
Feet,_2D,True,15,211.96,Left,Same,-433.3154,3,2184.901,0,4669.023,241.15,134.74,103.19,0,0,1244.62,1166.958,787.1918,21342,36732,9787,3927
