method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Head,_2D,True,0,0,Straight,Same,0,3,30,0,23.25678,108.77,59.79997,55.60999,0,0,56.52087,793.1608,35.52698,0,38410,0,23130
Head,_2D,True,1,10,Straight,Same,0,3,250,0,245.5786,205.66,122.46,114.69,0,0,491.0033,2251.134,56.83424,0,76717,0,82319
Head,_2D,True,2,19.92,Right,Same,168.5298,3,391.4133,0,478.0898,144.2,150.38,121.05,0,0,499.3602,841.8467,778.2837,0,86846,0,91828
Head,_2D,True,3,30.67999,Left,Same,168.5298,3,611.4133,0,723.478,191,124.28,160.3,0,0,130.3064,2022.525,800.3253,436,101351,2062,121591
Head,_2D,True,4,39.98,Straight,Same,168.5298,3,831.4133,0,941.1509,115.83,107.71,116.01,0,0,119.2341,1562.618,408.3895,6251,76694,2441,99730
Head,_2D,True,5,50.34,Right,Same,337.0595,3,972.8265,0,1174.41,184.87,126.0801,123.34,0,0,159.1163,1196.562,776.0502,2563,86048,3833,102163
Head,_2D,True,6,61.48,Left,Same,337.0595,3,1192.827,0,1424.672,198.48,104,133.81,0,0,150.3326,1337.471,69.70564,19590,93057,6800,134246
Head,_2D,True,7,70.81999,Straight,Same,337.0595,3,1412.827,0,1644.23,144.43,107.59,114.69,0,0,129.1829,1190.769,778.3752,33124,69282,4060,96172
Head,_2D,True,8,80.84,Right,Same,505.5893,3,1554.24,0,1876.844,125.59,108.09,104.55,0,0,1257.499,1561.043,776.4736,7977,87906,2729,112484
Head,_2D,True,9,91.43999,Left,Same,505.5893,3,1774.24,0,2115.595,195.69,136.73,140.86,0,0,529.4609,1955.86,428.9813,303,86442,1307,124667
Head,_2D,True,10,101.12,Straight,Same,505.5893,3,1994.24,0,2332.324,165.61,138.77,115.5201,0,0,2014.359,1519.403,56.62631,8485,81204,8414,117541
Head,_2D,True,11,111.68,Right,Same,674.1191,3,2135.653,0,2572.198,191.97,135.1,104.7,0,0,1278.01,867.5557,780.1753,5213,84631,7085,117409
Head,_2D,True,12,122.62,Left,Same,674.1191,3,2355.653,0,2830.181,196.71,125.7399,162.3,0,0,1266.818,1320.834,1521.551,3807,81495,10072,122703
Head,_2D,True,13,132.86,Left,Same,505.5893,3,2497.066,0,3065.889,182.2,92.20001,117.6,0,0,493.3164,951.9463,429.2914,7205,74576,13820,122374
Head,_2D,True,14,142.12,Left,Same,288.9316,3,2458.864,0,3298.79,238.45,142,117.4,0,0,1229.695,829.0309,57.97028,5584,62042,8294,106724
Head,_2D,True,15,152.78,Right,Same,120.4018,3,2600.277,0,3543.358,211.79,126.96,139.98,0,0,1603.103,1293.267,804.2454,14135,87895,14831,129443
