method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Head,_3D,True,0,0,Straight,Same,0,3,30,0,24.32857,95.54002,144.36,80.9,0,0,32.82443,391.2028,12.12552,33919,47376,3563,23241
Head,_3D,True,1,19.72,Straight,Same,0,3,250,0,245.9543,370.09,291.3199,287.51,0,0,153.5803,3390.664,1513.617,172950,281819,86238,187664
Head,_3D,True,2,33.20001,Right,Same,168.5298,3,391.4133,0,484.763,290.67,236.05,170.41,0,0,1192.236,1642.951,787.3237,119832,177441,100437,141444
Head,_3D,True,3,46.82001,Left,Same,168.5298,3,611.4133,0,730.5391,307.54,251.5701,208.28,0,0,137.0479,2001.565,2947.54,95424,176492,94757,134938
Head,_3D,True,4,59.84,Straight,Same,168.5298,3,831.4133,0,949.7458,344.02,251.19,179.81,0,0,111.3517,1556.743,775.7935,102770,173229,88099,132248
Head,_3D,True,5,73.72,Right,Same,337.0595,3,972.8265,0,1178.081,311.7099,239.48,207.48,0,0,483.26,1568.937,4745.809,150632,185186,102553,143580
Head,_3D,True,6,87.42001,Left,Same,337.0595,3,1192.827,0,1408.195,257.55,244.0801,168.1,0,0,485.1322,3081.665,1510.412,156141,191584,92118,139223
Head,_3D,True,7,99.95999,Straight,Same,337.0595,3,1412.827,0,1630.514,265.3,218.26,151.6201,0,0,487.3597,2597.787,1850.521,161495,171779,99001,125076
Head,_3D,True,8,112.78,Right,Same,505.5893,3,1554.24,0,1857.058,254.06,227.27,170.97,0,0,504.6894,1996.11,1514.782,149883,155160,93712,123607
Head,_3D,True,9,127.96,Left,Same,505.5893,3,1774.24,0,2107.742,340.78,238.41,205.47,0,0,183.8019,2443.341,1181.674,190563,202167,109466,146069
Head,_3D,True,10,140.2,Straight,Same,505.5893,3,1994.24,0,2327.147,219.96,212.69,161.14,0,0,902.3998,1964.409,1187.26,137385,155702,86493,114367
Head,_3D,True,11,153.68,Right,Same,674.1191,3,2135.653,0,2553.676,291.6201,225.57,158.97,0,0,558.9868,1613.734,1160.38,153233,164964,86317,125866
Head,_3D,True,12,167.38,Left,Same,674.1191,3,2355.653,0,2783.161,348.45,250.78,179.19,0,0,891.028,1307.203,4759.915,133932,190311,107076,137010
Head,_3D,True,13,181.22,Left,Same,505.5893,3,2497.066,0,3011.396,383.0001,246.59,188.4,0,0,554.2521,1256.762,2239.06,150556,194508,99587,132394
Head,_3D,True,14,194.52,Left,Same,288.9316,3,2458.864,0,3240.348,334.09,224.6401,202.59,0,0,168.5832,1630.304,2225.632,143314,178297,91084,118944
Head,_3D,True,15,210.16,Right,Same,120.4018,3,2600.277,0,3495.596,404.48,255.92,180.5301,0,0,160.2624,2894.081,1164.253,154140,195176,125582,148927
