method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Hand,_3D,True,0,0,Straight,Same,0,3,30,0,24.43442,1464.11,738.0701,773.1204,-14,15,14457.02,12547.42,5874.254,76900,1765312,13820,3933776
Hand,_3D,True,1,8.700073,Right,Same,168.5298,3,171.4133,0,249.5609,474.1399,121.14,125.45,0,0,1979.858,960.7708,1588.351,27797,126613,0,129023
Hand,_3D,True,2,21.23999,Left,Same,168.5298,3,391.4133,0,652.6851,1413.22,186.07,304.6301,0,0,5616.63,738.7536,5949.619,11918,186051,0,173021
Hand,_3D,False,3,30.09998,Right,Same,337.0595,3,532.8265,5.235313,989.6155,535.85,114.51,151.5501,0,0,2707.706,892.2119,2289.388,8399,134658,0,119024
Hand,_3D,False,4,30.09998,Straight,Same,505.5893,3,674.2398,107.7559,989.6155,0,0,0,0,0,0,0,0,0,0,0,0
Hand,_3D,False,5,30.09998,Left,Same,505.5893,3,894.2398,119.4375,989.6155,0,0,0,0,0,0,0,0,0,0,0,0
Hand,_3D,True,6,43.47998,Left,Same,337.0596,3,1035.653,0,1493.405,1100.27,198.6101,240.98,0,0,3436.292,1793.774,3036.3,16190,197834,0,175166
Hand,_3D,True,7,52.02002,Straight,Same,168.5298,3,1177.066,0,1726.884,757.15,128.2999,217.97,0,0,4431.221,531.2737,1174.613,4343,126814,0,102956
Hand,_3D,False,8,78.07996,Left,Same,-48.12793,3,1138.864,7.492524,2322.162,1850.67,291.3001,539.19,0,0,7522.885,1850.196,2869.09,2179,368586,0,345856
Hand,_3D,False,9,78.07996,Right,Same,-216.6577,3,1280.277,173.4456,2322.162,0,0,0,0,0,0,0,0,0,0,0,0
Hand,_3D,False,10,78.07996,Right,Same,-216.6577,3,1500.277,48.00237,2322.162,0,0,0,0,0,0,0,0,0,0,0,0
Hand,_3D,True,11,94.5,Straight,Same,-216.6577,3,1720.277,0,2846.397,920.36,279.6299,190.76,0,0,3806.983,1755.697,3395.898,327,239966,0,222372
Hand,_3D,True,12,104.4,Right,Same,-48.12793,3,1861.69,0,3073.319,966.0101,214,169.32,0,0,3360.195,632.7559,1901.96,0,145684,0,127306
Hand,_3D,True,13,113.98,Left,Same,-48.12793,3,2081.69,0,3311.336,822.7899,233.7199,168.94,0,0,4079.715,609.0276,1189.762,0,135623,0,125357
Hand,_3D,True,14,124.64,Left,Same,-216.6577,3,2223.104,0,3601.185,450.43,248.8299,221.9999,0,0,2325.864,647.8683,1947.735,0,152970,0,142959
Hand,_3D,True,15,132.2001,Left,Same,-433.3154,3,2184.901,0,3842.584,648.4399,235.6199,142.94,0,0,474.2352,925.1072,1549.372,0,110644,0,101421
