method,mode,hit,coin,time,direction,altitude,x,y,z,missdistance,traveldistance,hand x, hand y, hand z, left button, right button, head x, head y, head z, left toe, left heel, right toe, right heel
Head,_3D,True,0,0,Straight,Same,0,3,30,0,24.75219,69.16997,70.25002,29.72002,0,0,48.36143,819.3683,760.6096,0,78785,0,61746
Head,_3D,True,1,19.26001,Straight,Same,0,3,250,0,429.6115,299.8701,254.58,189.59,0,0,224.0089,2955.675,4495.449,12709,158310,27483,125457
Head,_3D,False,2,43.29999,Right,Same,168.5298,3,391.4133,4.982942,1196.409,426.0501,347.4301,315.4399,0,0,1057.546,3822.111,3906.446,7878,205078,2362,164088
Head,_3D,False,3,63.91998,Left,Same,168.5298,3,611.4133,7.816601,1633.762,354.84,225.09,251.93,0,0,333.8274,2423.323,1664.121,4931,157439,532,127970
Head,_3D,True,4,67.09998,Straight,Same,168.5298,3,831.4133,0,1748.327,69.45,66.91998,16.93001,0,0,64.04924,422.1214,32.4147,0,24167,0,22817
Head,_3D,True,5,74.85999,Right,Same,337.0595,3,972.8265,0,1996.208,186,101.8,125.2899,0,0,106.1999,1265.502,795.5455,7863,63527,5450,50482
Head,_3D,True,6,87.84003,Left,Same,337.0595,3,1192.827,0,2353.547,232.82,192.65,192.41,0,0,200.1004,2072.631,2311.852,21499,101427,19835,97818
Head,_3D,True,7,96.5,Straight,Same,337.0595,3,1412.827,0,2583.505,130.19,132.68,84.67,0,0,114.5311,1326.449,444.4974,11819,79699,1136,73207
Head,_3D,True,8,104.84,Right,Same,505.5893,3,1554.24,0,2808.447,106.33,141.96,86.71999,0,0,129.677,909.5519,75.95773,15599,64258,5052,65206
Head,_3D,True,9,114.36,Left,Same,505.5893,3,1774.24,0,3086.24,152.04,140.79,116.83,0,0,148.602,1138.416,840.1952,9453,75823,10432,80125
Head,_3D,True,10,121.04,Straight,Same,505.5893,3,1994.24,0,3314.207,125.8701,168.94,71.93002,0,0,111.8439,915.2287,812.175,5653,50112,13521,49509
Head,_3D,True,11,127.98,Right,Same,674.1191,3,2135.653,0,3547.63,122.19,127.77,56.93002,0,0,120.2111,820.7786,780.9355,16134,61524,17060,62610
Head,_3D,True,12,136.18,Left,Same,674.1191,3,2355.653,0,3814.169,133.38,180.43,82.31996,0,0,122.757,2432.15,1155.819,17267,75300,36099,78935
Head,_3D,True,13,142.62,Left,Same,505.5893,3,2497.066,0,4054.786,114.16,149.0001,73.14,0,0,106.0722,921.5098,804.7897,19331,50998,22245,50273
Head,_3D,True,14,148.34,Left,Same,288.9316,3,2458.864,0,4281.136,135.01,147.9701,84.59,0,0,93.47864,879.1722,782.9225,8113,49093,22630,50558
Head,_3D,True,15,155.32,Right,Same,120.4018,3,2600.277,0,4538.647,166.05,156.8601,70.34,0,0,133.8868,1285.148,447.0887,17487,57036,38567,61494
