participant	steering_method	speed_method	hit	coin	time	direction	distance	altitude	sharpness	missdistance	traveldistance
P10	ControllerMethod	LeaningMethod	TRUE	1	6.880005	Straight	Medium	Up	Smooth	0	3623.615
P10	ControllerMethod	LeaningMethod	TRUE	2	13.92004	Straight	Long	Up	Smooth	0	4227.306
P10	ControllerMethod	LeaningMethod	TRUE	3	17.04004	Straight	Medium	Same	Default	0	4627.778
P10	ControllerMethod	LeaningMethod	TRUE	4	20.28003	Right	Medium	Same	Sharp	0	5032.916
P10	ControllerMethod	LeaningMethod	TRUE	5	28.38	Left	Long	Up	Default	0	5652.803
P10	ControllerMethod	LeaningMethod	TRUE	6	30.73999	Right	Short	Same	Default	0	5863.226
P10	ControllerMethod	LeaningMethod	TRUE	7	35.54004	Left	Long	Same	Sharp	0	6467.721
P10	ControllerMethod	LeaningMethod	TRUE	8	38.52002	Straight	Short	Down	Default	0	6671.271
P10	ControllerMethod	LeaningMethod	TRUE	9	41.95996	Right	Short	Up	Sharp	0	6872.558
P10	ControllerMethod	LeaningMethod	TRUE	10	44.66003	Left	Short	Up	Default	0	7069.606
P10	ControllerMethod	LeaningMethod	TRUE	11	47.29993	Left	Medium	Down	Smooth	0	7472.756
P10	ControllerMethod	LeaningMethod	TRUE	12	51.67993	Left	Long	Same	Smooth	0	8075.106
P10	ControllerMethod	LeaningMethod	TRUE	13	53.83997	Right	Medium	Down	Sharp	0	8475.341
P10	ControllerMethod	LeaningMethod	TRUE	14	55.09998	Right	Short	Down	Smooth	0	8678.521
P10	ControllerMethod	LeaningMethod	TRUE	15	58.26001	Straight	Long	Down	Sharp	0	9289.886
P11	LeaningMethod	LeaningMethod	TRUE	0	0	Straight	Short	Same	Default	0	2210.182
P11	LeaningMethod	LeaningMethod	TRUE	1	7.5	Straight	Medium	Up	Smooth	0	2628.625
P11	LeaningMethod	LeaningMethod	TRUE	2	12.90001	Straight	Short	Up	Sharp	0	2868.62
P11	LeaningMethod	LeaningMethod	TRUE	3	18.60001	Left	Long	Down	Default	0	3511.023
P11	LeaningMethod	LeaningMethod	TRUE	4	21.06	Straight	Short	Same	Sharp	0	3711.315
P11	LeaningMethod	LeaningMethod	FALSE	5	33.59999	Right	Long	Up	Smooth	4.341032	4445.638
P11	LeaningMethod	LeaningMethod	TRUE	6	37.09999	Straight	Medium	Same	Default	0	4762.815
P11	LeaningMethod	LeaningMethod	TRUE	7	46.77998	Left	Medium	Up	Sharp	0	5234.239
P11	LeaningMethod	LeaningMethod	FALSE	8	49.13998	Right	Short	Down	Sharp	5.329606	5530.903
P11	LeaningMethod	LeaningMethod	TRUE	9	51.89999	Straight	Medium	Down	Sharp	0	5861.005
P11	LeaningMethod	LeaningMethod	TRUE	10	54.61998	Left	Short	Same	Smooth	0	6086.729
P11	LeaningMethod	LeaningMethod	TRUE	11	60.31999	Right	Long	Down	Default	0	6726.091
P11	LeaningMethod	LeaningMethod	TRUE	12	64.93999	Right	Long	Same	Smooth	0	7332.111
P11	LeaningMethod	LeaningMethod	TRUE	13	68.85999	Left	Medium	Down	Default	0	7777.616
P11	LeaningMethod	LeaningMethod	TRUE	14	71.05998	Left	Short	Same	Default	0	7985.321
P11	LeaningMethod	LeaningMethod	TRUE	15	77.77998	Right	Long	Up	Smooth	0	8601.671
P11	ControllerMethod	LeaningMethod	TRUE	0	0	Straight	Short	Same	Default	0	24.76756
P11	ControllerMethod	LeaningMethod	TRUE	1	3.980011	Straight	Medium	Up	Smooth	0	427.8836
P11	ControllerMethod	LeaningMethod	TRUE	2	7.940002	Left	Long	Same	Sharp	0	1038.079
P11	ControllerMethod	LeaningMethod	FALSE	3	9.860016	Left	Short	Down	Sharp	2.457232	1326.442
P11	ControllerMethod	LeaningMethod	TRUE	4	11.14001	Straight	Short	Up	Default	0	1435.954
P11	ControllerMethod	LeaningMethod	TRUE	5	12.98001	Right	Short	Same	Default	0	1636.663
P11	ControllerMethod	LeaningMethod	TRUE	6	16.80002	Right	Long	Down	Smooth	0	2247.788
P11	ControllerMethod	LeaningMethod	TRUE	7	19.20001	Straight	Medium	Same	Smooth	0	2653.573
P11	ControllerMethod	LeaningMethod	TRUE	8	21.66	Right	Short	Up	Smooth	0	2854.541
P11	ControllerMethod	LeaningMethod	TRUE	9	24.76001	Straight	Long	Same	Default	0	3459.287
P11	ControllerMethod	LeaningMethod	TRUE	10	28.10001	Left	Medium	Up	Sharp	0	3873.2
P11	ControllerMethod	LeaningMethod	TRUE	11	29.48001	Right	Short	Same	Sharp	0	4077.869
P11	ControllerMethod	LeaningMethod	TRUE	12	32.82001	Right	Medium	Up	Default	0	4486.209
P11	ControllerMethod	LeaningMethod	FALSE	13	36.35999	Left	Long	Down	Smooth	2.628291	5208.908
P11	ControllerMethod	LeaningMethod	TRUE	14	37.76001	Left	Medium	Down	Sharp	0	5521.915
P11	ControllerMethod	LeaningMethod	TRUE	15	40.82001	Straight	Long	Down	Default	0	6121.066
P11	LeaningMethod	ControllerDistanceMethod	TRUE	0	0	Straight	Short	Same	Default	0	207.6311
P11	LeaningMethod	ControllerDistanceMethod	FALSE	1	9.660004	Straight	Medium	Up	Smooth	8.475945	1099.404
P11	LeaningMethod	ControllerDistanceMethod	FALSE	2	12.26001	Straight	Short	Up	Default	5.954295	1335.519
P11	LeaningMethod	ControllerDistanceMethod	TRUE	3	13.42001	Straight	Short	Same	Default	0	1445.859
P11	LeaningMethod	ControllerDistanceMethod	TRUE	4	17.04001	Right	Medium	Same	Sharp	0	1857.171
P11	LeaningMethod	ControllerDistanceMethod	FALSE	5	24.36002	Left	Short	Up	Sharp	6.852429	2445.932
P11	LeaningMethod	ControllerDistanceMethod	TRUE	6	27.34	Right	Long	Same	Sharp	0	2950.2
P11	LeaningMethod	ControllerDistanceMethod	FALSE	7	34.01999	Left	Short	Up	Smooth	3.997431	3585.314
P11	LeaningMethod	ControllerDistanceMethod	TRUE	8	40.13998	Left	Long	Down	Smooth	0	4167.016
P11	LeaningMethod	ControllerDistanceMethod	TRUE	9	45.75998	Straight	Long	Same	Smooth	0	4845.662
P11	LeaningMethod	ControllerDistanceMethod	TRUE	10	49.80002	Right	Medium	Down	Default	0	5288.65
P11	LeaningMethod	ControllerDistanceMethod	TRUE	11	55.07999	Right	Long	Down	Default	0	5985.139
P11	LeaningMethod	ControllerDistanceMethod	FALSE	12	61.37997	Right	Short	Same	Smooth	4.754562	6508.004
P11	LeaningMethod	ControllerDistanceMethod	TRUE	13	65.23996	Straight	Medium	Up	Sharp	0	7211.479
P11	LeaningMethod	ControllerDistanceMethod	TRUE	14	69.86002	Left	Medium	Down	Default	0	7629.546
P11	LeaningMethod	ControllerDistanceMethod	TRUE	15	74.75998	Left	Long	Down	Sharp	0	8244.934
P11	ControllerMethod	ControllerDistanceMethod	TRUE	0	0	Straight	Short	Same	Default	0	22.18483
P11	ControllerMethod	ControllerDistanceMethod	TRUE	1	2.880005	Straight	Medium	Up	Smooth	0	424.2897
P11	ControllerMethod	ControllerDistanceMethod	TRUE	2	6.660034	Straight	Long	Up	Smooth	0	1028.492
P11	ControllerMethod	ControllerDistanceMethod	TRUE	3	9.040039	Straight	Medium	Same	Default	0	1428.62
P11	ControllerMethod	ControllerDistanceMethod	TRUE	4	10.86005	Right	Medium	Same	Sharp	0	1832.617
P11	ControllerMethod	ControllerDistanceMethod	TRUE	5	14.14001	Left	Long	Up	Default	0	2440.042
P11	ControllerMethod	ControllerDistanceMethod	TRUE	6	15.32001	Right	Short	Same	Default	0	2651.525
P11	ControllerMethod	ControllerDistanceMethod	TRUE	7	19.22003	Left	Long	Same	Sharp	0	3282.755
P11	ControllerMethod	ControllerDistanceMethod	TRUE	8	20.70001	Straight	Short	Down	Default	0	3483.529
P11	ControllerMethod	ControllerDistanceMethod	TRUE	9	21.46002	Right	Short	Up	Sharp	0	3695.834
P11	ControllerMethod	ControllerDistanceMethod	TRUE	10	32.73999	Left	Short	Up	Default	0	4233.523
P11	ControllerMethod	ControllerDistanceMethod	TRUE	11	36.66003	Left	Medium	Down	Smooth	0	4636.64
P11	ControllerMethod	ControllerDistanceMethod	TRUE	12	40.17999	Left	Long	Same	Smooth	0	5240.977
P11	ControllerMethod	ControllerDistanceMethod	TRUE	13	43.23999	Right	Medium	Down	Sharp	0	5648.571
P11	ControllerMethod	ControllerDistanceMethod	TRUE	14	44.46002	Right	Short	Down	Smooth	0	5853.583
P11	ControllerMethod	ControllerDistanceMethod	TRUE	15	48.16003	Straight	Long	Down	Sharp	0	6454.063
P12	ControllerMethod	LeaningMethod	TRUE	0	0	Straight	Short	Same	Default	0	4029.371
P12	ControllerMethod	LeaningMethod	FALSE	1	21.55994	Straight	Medium	Up	Smooth	5.268393	4511.9
P12	ControllerMethod	LeaningMethod	TRUE	2	38.43994	Straight	Short	Up	Sharp	0	5589.703
P12	ControllerMethod	LeaningMethod	TRUE	3	44.93994	Left	Long	Down	Default	0	6205.085
P12	ControllerMethod	LeaningMethod	TRUE	4	47.19995	Straight	Short	Same	Sharp	0	6402.53
P12	ControllerMethod	LeaningMethod	FALSE	5	72.85992	Right	Long	Up	Smooth	6.183072	8489.027
P12	ControllerMethod	LeaningMethod	FALSE	6	78.43994	Straight	Medium	Same	Default	316.1363	8925.509
P12	ControllerMethod	LeaningMethod	FALSE	7	83.13995	Left	Medium	Up	Sharp	459.303	9356.6
P12	ControllerMethod	LeaningMethod	FALSE	8	85.13995	Right	Short	Down	Sharp	703.2126	9558.519
P12	ControllerMethod	LeaningMethod	FALSE	9	98.63995	Straight	Medium	Down	Sharp	217.1068	10298.07
